model_type,lead_months,task,n_samples,rmse,mae,corr,r2
xgboost,3,regression,105,0.516967,0.403102,0.844972,0.704577
xgboost,3,classification,105,1.090885,0.974286,0.78198,-0.31546
xgboost,6,regression,102,0.80005,0.620994,0.564987,0.272819
xgboost,6,classification,102,1.423026,1.258137,0.265254,-1.300562
xgboost,12,regression,96,0.98802,0.792944,-0.667272,-0.06365
xgboost,12,classification,96,1.496772,1.298125,-0.569891,-1.441061
lstm,3,regression,105,0.516819,0.384466,0.844894,0.704746
lstm,6,regression,102,0.899377,0.649864,0.335619,0.081049
lstm,12,regression,96,1.172389,0.888551,-0.373353,-0.497652
cnn,3,regression,105,0.658943,0.503954,0.730501,0.520029
cnn,6,regression,102,1.084147,0.787589,0.247666,-0.335317
cnn,12,regression,96,1.147131,0.831368,-0.374234,-0.433814
