rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
1,1,val_r2,,,3,128,1,0.2,0.0003,0.0,32,6,60
2,2,val_r2,,,3,32,1,0.4,0.001,0.0001,32,6,60
3,3,val_r2,,,3,32,1,0.0,0.0003,0.0,16,6,60
4,4,val_r2,,,3,128,2,0.0,0.0003,0.0001,16,9,60
5,5,val_r2,,,3,32,2,0.4,0.0003,0.0001,16,12,60
6,6,val_r2,,,3,32,2,0.4,0.001,0.0,32,12,60
7,7,val_r2,,,3,32,2,0.2,0.0003,0.0001,16,6,60
8,8,val_r2,,,3,32,1,0.4,0.0003,0.0001,32,12,60
9,9,val_r2,,,3,128,2,0.0,0.0003,0.0,32,12,60
10,10,val_r2,,,3,32,1,0.4,0.001,0.0,32,9,60
11,11,val_r2,,,3,128,1,0.4,0.001,0.0001,32,9,60
12,12,val_r2,,,3,64,2,0.4,0.0003,0.0,32,6,60
13,13,val_r2,,,3,32,1,0.2,0.0003,0.0001,16,12,60
14,14,val_r2,,,3,128,1,0.0,0.0003,0.0,16,12,60
15,15,val_r2,,,3,64,2,0.0,0.001,0.0,16,6,60
16,16,val_r2,,,3,32,1,0.0,0.0003,0.0,32,9,60
17,17,val_r2,,,3,32,1,0.0,0.0003,0.0,32,6,60
18,18,val_r2,,,3,32,1,0.2,0.0003,0.0001,32,12,60
19,19,val_r2,,,3,32,2,0.2,0.0003,0.0,32,6,60
20,20,val_r2,,,3,32,2,0.2,0.0003,0.0001,32,12,60
21,21,val_r2,,,3,64,2,0.2,0.0003,0.0001,16,6,60
22,22,val_r2,,,3,128,1,0.0,0.0003,0.0001,16,12,60
23,23,val_r2,,,3,32,1,0.0,0.0003,0.0,16,9,60
24,24,val_r2,,,3,64,2,0.4,0.0003,0.0001,32,12,60
25,25,val_r2,,,3,32,2,0.2,0.001,0.0,32,12,60
26,26,val_r2,,,3,128,2,0.0,0.001,0.0001,16,6,60
27,27,val_r2,,,3,128,1,0.2,0.0003,0.0001,16,12,60
28,28,val_r2,,,3,128,1,0.4,0.0003,0.0001,32,12,60
29,29,val_r2,,,3,64,1,0.4,0.0003,0.0001,32,9,60
30,30,val_r2,,,3,32,2,0.2,0.0003,0.0,32,9,60
31,31,val_r2,,,3,64,2,0.0,0.0003,0.0,16,9,60
32,32,val_r2,,,3,128,1,0.0,0.0003,0.0,16,9,60
33,33,val_r2,,,3,32,2,0.4,0.0003,0.0001,32,9,60
34,34,val_r2,,,3,128,2,0.4,0.001,0.0001,16,6,60
35,35,val_r2,,,3,32,1,0.0,0.001,0.0,32,6,60
36,36,val_r2,,,3,128,2,0.2,0.001,0.0,32,9,60
37,37,val_r2,,,3,128,2,0.4,0.001,0.0,32,9,60
38,38,val_r2,,,3,32,2,0.0,0.001,0.0001,32,6,60
39,39,val_r2,,,3,128,1,0.4,0.0003,0.0001,32,6,60
40,40,val_r2,,,3,64,1,0.2,0.001,0.0001,16,6,60
41,41,val_r2,,,3,32,2,0.0,0.001,0.0001,16,9,60
42,42,val_r2,,,3,32,2,0.2,0.0003,0.0,16,12,60
43,43,val_r2,,,3,128,2,0.2,0.001,0.0001,16,6,60
44,44,val_r2,,,3,64,1,0.2,0.001,0.0,32,9,60
45,45,val_r2,,,3,64,1,0.4,0.001,0.0,16,12,60
46,46,val_r2,,,3,32,1,0.4,0.001,0.0,16,9,60
47,47,val_r2,,,3,64,1,0.2,0.0003,0.0,32,6,60
48,48,val_r2,,,3,64,1,0.2,0.001,0.0001,16,12,60
49,49,val_r2,,,3,128,1,0.0,0.0003,0.0001,32,6,60
50,50,val_r2,,,3,32,2,0.4,0.0003,0.0,32,6,60
51,51,val_r2,,,3,128,2,0.4,0.001,0.0,32,12,60
52,52,val_r2,,,3,32,1,0.0,0.0003,0.0001,32,9,60
53,53,val_r2,,,3,128,2,0.0,0.0003,0.0,16,9,60
54,54,val_r2,,,3,64,2,0.0,0.0003,0.0001,16,9,60
55,55,val_r2,,,3,64,2,0.4,0.001,0.0001,32,9,60
56,56,val_r2,,,3,32,1,0.4,0.0003,0.0,32,6,60
57,57,val_r2,,,3,64,1,0.4,0.001,0.0,16,9,60
58,58,val_r2,,,3,32,1,0.2,0.0003,0.0,32,9,60
59,59,val_r2,,,3,64,2,0.4,0.0003,0.0001,16,6,60
60,60,val_r2,,,3,64,1,0.0,0.001,0.0001,16,6,60
61,61,val_r2,,,3,128,2,0.4,0.0003,0.0,32,9,60
62,62,val_r2,,,3,128,1,0.2,0.001,0.0001,32,6,60
63,63,val_r2,,,3,128,1,0.2,0.001,0.0,32,9,60
64,64,val_r2,,,3,64,1,0.2,0.0003,0.0,32,12,60
65,65,val_r2,,,3,128,1,0.0,0.001,0.0001,16,9,60
66,66,val_r2,,,3,32,2,0.2,0.001,0.0,16,12,60
67,67,val_r2,,,3,128,2,0.0,0.001,0.0,16,6,60
68,68,val_r2,,,3,32,1,0.2,0.001,0.0001,32,12,60
69,69,val_r2,,,3,32,1,0.0,0.0003,0.0001,32,12,60
70,70,val_r2,,,3,128,1,0.4,0.001,0.0,16,12,60
71,71,val_r2,,,3,32,2,0.2,0.0003,0.0001,16,12,60
72,72,val_r2,,,3,128,2,0.2,0.001,0.0001,32,12,60
73,73,val_r2,,,3,64,1,0.0,0.001,0.0,32,9,60
74,74,val_r2,,,3,32,1,0.4,0.001,0.0,32,6,60
75,75,val_r2,,,3,64,2,0.0,0.0003,0.0,32,9,60
76,76,val_r2,,,3,128,1,0.2,0.0003,0.0,16,9,60
77,77,val_r2,,,3,128,2,0.4,0.0003,0.0001,16,9,60
78,78,val_r2,,,3,64,1,0.2,0.0003,0.0001,16,6,60
79,79,val_r2,,,3,32,2,0.0,0.001,0.0001,32,12,60
80,80,val_r2,,,3,64,1,0.2,0.0003,0.0001,32,6,60
