trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
1,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.6305768489837646,128,1,0.2,0.0003,0.0,32,6,60,0.3958980441093445,20,40,0.629204273223877,0.4542158544063568,0.8845628597369172,0.6305768489837646
1,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.04555344581604004,128,1,0.2,0.0003,0.0,32,6,60,0.4980946183204651,6,26,0.7057582139968872,0.5629134774208069,0.313553976526397,0.04555344581604004
1,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.10654246807098389,128,1,0.2,0.0003,0.0,32,6,60,0.5254161953926086,28,48,0.7248559594154358,0.6034443378448486,0.4866373440223329,0.10654246807098389
2,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.4785497784614563,32,1,0.4,0.001,0.0001,32,6,60,0.5588201284408569,20,40,0.7475427389144897,0.5348408222198486,0.8105926360813474,0.4785497784614563
2,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.0852823257446289,32,1,0.4,0.001,0.0001,32,6,60,0.47736144065856934,5,25,0.6909134387969971,0.5438883304595947,0.32235420758739175,0.0852823257446289
2,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.17107993364334106,32,1,0.4,0.001,0.0001,32,6,60,0.48746374249458313,15,35,0.6981859803199768,0.5540415644645691,0.4502561714190682,0.17107993364334106
3,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.527011513710022,32,1,0.0,0.0003,0.0,16,6,60,0.5068852760088749,34,54,0.7119588255882263,0.5124180912971497,0.8223107085557066,0.527011513710022
3,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.10623109340667725,32,1,0.0,0.0003,0.0,16,6,60,0.46642899207579785,8,28,0.6829559803009033,0.5608083605766296,0.3299496389170019,0.10623109340667725
3,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.062074244022369385,32,1,0.0,0.0003,0.0,16,6,60,0.5515666306018829,4,24,0.7426753640174866,0.5852908492088318,0.25842680382865435,0.062074244022369385
4,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.6881169080734253,128,2,0.0,0.0003,0.0001,16,9,60,0.33691981157813317,10,30,0.5804479718208313,0.43321913480758667,0.8994760765501394,0.6881169080734253
4,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.03573256731033325,128,2,0.0,0.0003,0.0001,16,9,60,0.5057140252529047,3,23,0.7111356854438782,0.5660494565963745,0.2864321270624117,0.03573256731033325
4,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.19650012254714966,128,2,0.0,0.0003,0.0001,16,9,60,0.4736454074199383,9,29,0.6882190108299255,0.5551295876502991,0.49571819241481185,0.19650012254714966
5,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6533575057983398,32,2,0.4,0.0003,0.0001,16,12,60,0.38121166805942336,27,47,0.617423415184021,0.46368488669395447,0.8915232616611793,0.6533575057983398
5,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.10628390312194824,32,2,0.4,0.0003,0.0001,16,12,60,0.46807543526996265,28,48,0.6841604113578796,0.5752379298210144,0.47177042685278553,0.10628390312194824
5,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.1619892120361328,32,2,0.4,0.0003,0.0001,16,12,60,0.4939887997431633,17,37,0.7028433680534363,0.5529404878616333,0.42410709075288616,0.1619892120361328
6,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.5137218832969666,32,2,0.4,0.001,0.0,32,12,60,0.5347725749015808,12,32,0.7312814593315125,0.4731069803237915,0.8405160746404979,0.5137218832969666
6,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.1648731231689453,32,2,0.4,0.001,0.0,32,12,60,0.43738996982574463,27,47,0.6613546013832092,0.562160849571228,0.5441541212258121,0.1648731231689453
6,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.13608533143997192,32,2,0.4,0.001,0.0,32,12,60,0.509258508682251,16,36,0.7136235237121582,0.5642828345298767,0.42857771265728395,0.13608533143997192
7,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.585677981376648,32,2,0.2,0.0003,0.0001,16,6,60,0.44401446892282903,19,39,0.666344165802002,0.47467538714408875,0.8677874145209626,0.585677981376648
7,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.07385563850402832,32,2,0.2,0.0003,0.0001,16,6,60,0.4833245552503146,10,30,0.6952155232429504,0.5562750697135925,0.287541644300019,0.07385563850402832
7,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.021345674991607666,32,2,0.2,0.0003,0.0001,16,6,60,0.5755179909211171,5,25,0.7586290240287781,0.5963398814201355,0.15386365810124666,0.021345674991607666
8,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.605026364326477,32,1,0.4,0.0003,0.0001,32,12,60,0.4343627393245697,56,60,0.6590619683265686,0.47688040137290955,0.9211644764087885,0.605026364326477
8,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.1277344822883606,32,1,0.4,0.0003,0.0001,32,12,60,0.45684096217155457,15,35,0.6759001016616821,0.5362697839736938,0.36514037136362365,0.1277344822883606
8,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.04363328218460083,32,1,0.4,0.0003,0.0001,32,12,60,0.5637570023536682,9,29,0.750837504863739,0.5909460783004761,0.21137137690862276,0.04363328218460083
9,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,0.6657495498657227,128,2,0.0,0.0003,0.0,32,12,60,0.36758390069007874,9,29,0.6062869429588318,0.4207470417022705,0.887925118012326,0.6657495498657227
9,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,0.04208099842071533,128,2,0.0,0.0003,0.0,32,12,60,0.5017011165618896,5,25,0.7083086967468262,0.549930989742279,0.31467866825856355,0.04208099842071533
9,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,0.07262414693832397,128,2,0.0,0.0003,0.0,32,12,60,0.5466674566268921,18,38,0.7393696904182434,0.6033814549446106,0.41712525254560506,0.07262414693832397
10,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.6380479335784912,32,1,0.4,0.001,0.0,32,9,60,0.3910082280635834,19,39,0.6253064870834351,0.5062408447265625,0.882556740400594,0.6380479335784912
10,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,0.10073953866958618,32,1,0.4,0.001,0.0,32,9,60,0.4716207981109619,5,25,0.6867465972900391,0.5430939197540283,0.3455264712666211,0.10073953866958618
