rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
1,66,val_r2,0.3521878918011983,0.2585072134789838,3,32,2,0.2,0.001,0.0,16,12,60
2,45,val_r2,0.3442533810933431,0.24528548150442028,3,64,1,0.4,0.001,0.0,16,12,60
3,57,val_r2,0.3428803086280823,0.23468666113225184,3,64,1,0.4,0.001,0.0,16,9,60
4,28,val_r2,0.3401203552881877,0.256209813951419,3,128,1,0.4,0.0003,0.0001,32,12,60
5,32,val_r2,0.33437538146972656,0.25511149083079326,3,128,1,0.0,0.0003,0.0,16,9,60
6,63,val_r2,0.33138275146484375,0.2443726017856771,3,128,1,0.2,0.001,0.0,32,9,60
7,65,val_r2,0.33036593596140545,0.2858425466835471,3,128,1,0.0,0.001,0.0001,16,9,60
8,29,val_r2,0.3295852144559224,0.24707160406348996,3,64,1,0.4,0.0003,0.0001,32,9,60
9,11,val_r2,0.3238346179326375,0.2595403539747843,3,128,1,0.4,0.001,0.0001,32,9,60
10,37,val_r2,0.32027657826741535,0.249361623811576,3,128,2,0.4,0.001,0.0,32,9,60
11,61,val_r2,0.3187902569770813,0.23763596962135203,3,128,2,0.4,0.0003,0.0,32,9,60
12,70,val_r2,0.3171761830647786,0.2656048035340011,3,128,1,0.4,0.001,0.0,16,12,60
13,75,val_r2,0.3149607976277669,0.22058762728243456,3,64,2,0.0,0.0003,0.0,32,9,60
14,14,val_r2,0.31462844212849933,0.2926249686038031,3,128,1,0.0,0.0003,0.0,16,12,60
15,77,val_r2,0.312594731648763,0.22889263682312846,3,128,2,0.4,0.0003,0.0001,16,9,60
16,27,val_r2,0.31226523717244464,0.2767143327472663,3,128,1,0.2,0.0003,0.0001,16,12,60
17,67,val_r2,0.3098887801170349,0.2319655937119615,3,128,2,0.0,0.001,0.0,16,6,60
18,71,val_r2,0.30780057112375897,0.2162426354903798,3,32,2,0.2,0.0003,0.0001,16,12,60
19,5,val_r2,0.30721020698547363,0.2458173233885805,3,32,2,0.4,0.0003,0.0001,16,12,60
20,72,val_r2,0.3070566654205322,0.25680174343977885,3,128,2,0.2,0.001,0.0001,32,12,60
21,4,val_r2,0.30678319931030273,0.2775164857367146,3,128,2,0.0,0.0003,0.0001,16,9,60
22,22,val_r2,0.30646824836730957,0.2848582325258071,3,128,1,0.0,0.0003,0.0001,16,12,60
23,46,val_r2,0.30567725499471027,0.22848315157021262,3,32,1,0.4,0.001,0.0,16,9,60
24,48,val_r2,0.3053290049235026,0.25619393770711935,3,64,1,0.2,0.001,0.0001,16,12,60
25,13,val_r2,0.3015276590983073,0.22970910841860223,3,32,1,0.2,0.0003,0.0001,16,12,60
26,36,val_r2,0.3004083236058553,0.2473831441573297,3,128,2,0.2,0.001,0.0,32,9,60
27,64,val_r2,0.2980528473854065,0.27874648800773044,3,64,1,0.2,0.0003,0.0,32,12,60
28,60,val_r2,0.2955273985862732,0.2322665455591863,3,64,1,0.0,0.001,0.0001,16,6,60
29,68,val_r2,0.2941110332806905,0.25624100592051186,3,32,1,0.2,0.001,0.0001,32,12,60
30,76,val_r2,0.2925914128621419,0.2456783088578079,3,128,1,0.2,0.0003,0.0,16,9,60
31,42,val_r2,0.29250721136728924,0.24299570100158,3,32,2,0.2,0.0003,0.0,16,12,60
32,62,val_r2,0.29177258412043255,0.2653629797521265,3,128,1,0.2,0.001,0.0001,32,6,60
33,51,val_r2,0.29161500930786133,0.2827832383785493,3,128,2,0.4,0.001,0.0,32,12,60
34,53,val_r2,0.2910471161206563,0.2785520503879741,3,128,2,0.0,0.0003,0.0,16,9,60
35,44,val_r2,0.290507972240448,0.2680199682212658,3,64,1,0.2,0.001,0.0,32,9,60
36,73,val_r2,0.2880946795145671,0.2761092949467626,3,64,1,0.0,0.001,0.0,32,9,60
37,43,val_r2,0.28690069913864136,0.24541220067693656,3,128,2,0.2,0.001,0.0001,16,6,60
38,54,val_r2,0.277804692586263,0.218381742067665,3,64,2,0.0,0.0003,0.0001,16,9,60
39,39,val_r2,0.2739305893580119,0.24395459531715433,3,128,1,0.4,0.0003,0.0001,32,6,60
40,74,val_r2,0.2727139393488566,0.26574542950123675,3,32,1,0.4,0.001,0.0,32,6,60
41,6,val_r2,0.2715601126352946,0.17163707178356477,3,32,2,0.4,0.001,0.0,32,12,60
42,10,val_r2,0.26955389976501465,0.2608691326859582,3,32,1,0.4,0.001,0.0,32,9,60
43,80,val_r2,0.2681792179743449,0.2796672622733869,3,64,1,0.2,0.0003,0.0001,32,6,60
44,40,val_r2,0.26743946472803753,0.24576889615423042,3,64,1,0.2,0.001,0.0001,16,6,60
45,69,val_r2,0.2647101084391276,0.31959972995328384,3,32,1,0.0,0.0003,0.0001,32,12,60
46,15,val_r2,0.2643447717030843,0.2268730306806668,3,64,2,0.0,0.001,0.0,16,6,60
47,35,val_r2,0.2639431556065877,0.2324817166812088,3,32,1,0.0,0.001,0.0,32,6,60
48,31,val_r2,0.2639241615931193,0.26980777262927413,3,64,2,0.0,0.0003,0.0,16,9,60
49,55,val_r2,0.26304155588150024,0.22952275459880764,3,64,2,0.4,0.001,0.0001,32,9,60
50,25,val_r2,0.2621663808822632,0.28766045978869154,3,32,2,0.2,0.001,0.0,32,12,60
51,17,val_r2,0.2614935636520386,0.28371071649114715,3,32,1,0.0,0.0003,0.0,32,6,60
52,1,val_r2,0.2608909209569295,0.262590529462,3,128,1,0.2,0.0003,0.0,32,6,60
53,9,val_r2,0.26015156507492065,0.2870720175961797,3,128,2,0.0,0.0003,0.0,32,12,60
54,52,val_r2,0.2594914436340332,0.2551108191325324,3,32,1,0.0,0.0003,0.0001,32,9,60
55,8,val_r2,0.2587980429331462,0.24721622231811013,3,32,1,0.4,0.0003,0.0001,32,12,60
56,58,val_r2,0.2586299975713094,0.27331611712015225,3,32,1,0.2,0.0003,0.0,32,9,60
57,20,val_r2,0.257217009862264,0.2682777843320382,3,32,2,0.2,0.0003,0.0001,32,12,60
58,49,val_r2,0.2558244268099467,0.25516095937769057,3,128,1,0.0,0.0003,0.0001,32,6,60
59,47,val_r2,0.2548779249191284,0.28347929100255975,3,64,1,0.2,0.0003,0.0,32,6,60
60,34,val_r2,0.2541601061820984,0.2383210562416337,3,128,2,0.4,0.001,0.0001,16,6,60
61,12,val_r2,0.25332651535669964,0.24479244398523178,3,64,2,0.4,0.0003,0.0,32,6,60
62,79,val_r2,0.25264835357666016,0.24612761619887963,3,32,2,0.0,0.001,0.0001,32,12,60
63,41,val_r2,0.24830816189448038,0.2601254588148735,3,32,2,0.0,0.001,0.0001,16,9,60
64,18,val_r2,0.24642950296401978,0.29101665995812354,3,32,1,0.2,0.0003,0.0001,32,12,60
65,2,val_r2,0.2449706792831421,0.16883858970428897,3,32,1,0.4,0.001,0.0001,32,6,60
66,78,val_r2,0.24326934417088827,0.250310855781558,3,64,1,0.2,0.0003,0.0001,16,6,60
67,21,val_r2,0.24298600355784097,0.24974144446159133,3,64,2,0.2,0.0003,0.0001,16,6,60
68,56,val_r2,0.242448627948761,0.24191915721129814,3,32,1,0.4,0.0003,0.0,32,6,60
69,16,val_r2,0.2420599659283956,0.24941446084464355,3,32,1,0.0,0.0003,0.0,32,9,60
70,26,val_r2,0.23957812786102295,0.266723334408535,3,128,2,0.0,0.001,0.0001,16,6,60
71,24,val_r2,0.23528315623601279,0.28740141838224176,3,64,2,0.4,0.0003,0.0001,32,12,60
72,23,val_r2,0.23516684770584106,0.3118433137940049,3,32,1,0.0,0.0003,0.0,16,9,60
73,38,val_r2,0.2320979634920756,0.26738548457407185,3,32,2,0.0,0.001,0.0001,32,6,60
74,3,val_r2,0.23177228371302286,0.20954253193373865,3,32,1,0.0,0.0003,0.0,16,6,60
75,59,val_r2,0.2269949515660604,0.2575381065365079,3,64,2,0.4,0.0003,0.0001,16,6,60
76,7,val_r2,0.22695976495742798,0.2545563371309106,3,32,2,0.2,0.0003,0.0001,16,6,60
77,50,val_r2,0.22367056210835776,0.23501569545360873,3,32,2,0.4,0.0003,0.0,32,6,60
78,19,val_r2,0.21096285184224448,0.26169827201108226,3,32,2,0.2,0.0003,0.0,32,6,60
79,30,val_r2,0.20486235618591309,0.23339772190820274,3,32,2,0.2,0.0003,0.0,32,9,60
80,33,val_r2,0.1961867610613505,0.274326904828322,3,32,2,0.4,0.0003,0.0001,32,9,60
