trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_accuracy,val_f1_macro,val_auc_macro,val_bss
1,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,128,1,0.2,0.0003,0.0,32,6,60,0.7350981831550598,17,37,0.6282051282051282,0.4831168831168831,0.8726114714300629,0.3092743571811778
1,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,128,1,0.2,0.0003,0.0,32,6,60,1.0307669639587402,9,29,0.5128205128205128,0.31459293394777266,0.6059165564373897,-0.04447493327554519
1,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,128,1,0.2,0.0003,0.0,32,6,60,1.0083681344985962,8,28,0.5443037974683544,0.3680241327300151,0.7265230149345246,0.0838358797518145
2,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,1,0.4,0.001,0.0001,32,6,60,0.8513669967651367,25,45,0.6538461538461539,0.6204068857589985,0.8280867104833801,0.24458950475635943
2,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,1,0.4,0.001,0.0001,32,6,60,1.007326602935791,10,30,0.5512820512820513,0.26427962489343565,0.650652106381273,-0.012008500637187725
2,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,1,0.4,0.001,0.0001,32,6,60,0.9883431792259216,11,31,0.5569620253164557,0.4128915934189768,0.7016308983610315,0.10200521033855503
3,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,1,0.0,0.0003,0.0,16,6,60,0.8270755073963068,27,47,0.5897435897435898,0.45085470085470086,0.8351184782078672,0.2333718085529114
3,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,1,0.0,0.0003,0.0,16,6,60,1.0552611564978576,15,35,0.3974358974358974,0.3055555555555556,0.6422859547859548,-0.06993419212600571
3,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,1,0.0,0.0003,0.0,16,6,60,1.0237070819999599,12,32,0.4810126582278481,0.3335722819593787,0.65115146306257,0.045625777969610426
4,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,128,2,0.0,0.0003,0.0001,16,9,60,0.7666419836191031,6,26,0.6282051282051282,0.48859744990892534,0.8775195751339755,0.3160436142391152
4,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,128,2,0.0,0.0003,0.0001,16,9,60,1.0549163573827498,7,27,0.46153846153846156,0.26185002736726876,0.5681599259416791,-0.054058241238285065
4,3,1979-09-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,2,0.0,0.0003,0.0001,16,9,60,1.0452327208641248,9,29,0.5641025641025641,0.47122807017543855,0.7135133241292371,0.09224423979480278
5,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,32,2,0.4,0.0003,0.0001,16,12,60,0.9857105125080455,17,37,0.37662337662337664,0.3167277167277167,0.8626521708349301,0.07850492502091277
5,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,32,2,0.4,0.0003,0.0001,16,12,60,1.0705991039028415,13,33,0.42857142857142855,0.35000956205775485,0.4848837499191933,-0.11584508097942603
5,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,2,0.4,0.0003,0.0001,16,12,60,1.0156871997393095,11,31,0.5,0.34861111111111115,0.6631973465094695,0.05046049587546042
6,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,32,2,0.4,0.001,0.0,32,12,60,0.9352717995643616,19,39,0.6753246753246753,0.6248693239056471,0.8329220770167504,0.17709687887614367
6,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,32,2,0.4,0.001,0.0,32,12,60,1.0589988231658936,6,26,0.4025974025974026,0.3116929128165083,0.5542130429644421,-0.10534421222423651
6,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,2,0.4,0.001,0.0,32,12,60,1.046549916267395,5,25,0.44871794871794873,0.20648967551622419,0.7517933875104127,0.021097385333521568
7,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,,32,2,0.2,0.0003,0.0001,16,6,60,0.7300883577420161,30,50,0.6282051282051282,0.48683253310053837,0.8853062693909922,0.3389976887799039
7,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,,32,2,0.2,0.0003,0.0001,16,6,60,1.0434497747665796,15,35,0.4230769230769231,0.33263157894736844,0.6383778258778259,-0.07509936346315027
7,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,,32,2,0.2,0.0003,0.0001,16,6,60,0.9914269718942763,15,35,0.569620253164557,0.49671316337983,0.6987444981515347,0.07387696866276139
8,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,32,1,0.4,0.0003,0.0001,32,12,60,0.8541948199272156,58,60,0.6883116883116883,0.6555266280573119,0.8721327147592911,0.23389646311706702
8,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,32,1,0.4,0.0003,0.0001,32,12,60,1.0588289499282837,18,38,0.5584415584415584,0.2388888888888889,0.5552062675679141,-0.09488223830047038
8,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,32,1,0.4,0.0003,0.0001,32,12,60,0.9974448084831238,25,45,0.5128205128205128,0.33301106456117735,0.7456122512588466,0.08048574305924427
9,1,1979-12-01,1995-08-01,1995-09-01,2002-01-01,val_r2,,128,2,0.0,0.0003,0.0,32,12,60,0.8667600750923157,12,32,0.5974025974025974,0.5336855838225701,0.8916964451502377,0.1914179069482439
9,2,1979-12-01,2002-01-01,2002-02-01,2008-06-01,val_r2,,128,2,0.0,0.0003,0.0,32,12,60,1.074917197227478,5,25,0.42857142857142855,0.23010824684745004,0.48582289561645364,-0.11711862140552487
9,3,1979-12-01,2008-06-01,2008-07-01,2014-12-01,val_r2,,128,2,0.0,0.0003,0.0,32,12,60,1.0402357578277588,5,25,0.4230769230769231,0.20754716981132074,0.6571625656516351,0.029432241027079087
10,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,,32,1,0.4,0.001,0.0,32,9,60,0.7981235384941101,18,38,0.6153846153846154,0.48214285714285715,0.8620485743723653,0.2671041423422368
10,2,1979-09-01,2001-12-01,2002-01-01,2008-06-01,val_r2,,32,1,0.4,0.001,0.0,32,9,60,1.0568959712982178,7,27,0.5512820512820513,0.23691460055096417,0.5584647984692707,-0.08037809414907038
