rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
1,86,3,"[32, 64, 128]",3,0.4,128,2,0.0005,1e-05,8,12,1.0,60,,,,,0.7291957258806794,0.09205623446723467,0.7133956386292835,0.04339061768593184,0.6653033164624254,0.08373396247396105,0.8025519102866006,0.07685212727869895,0.3037648290543326,0.11018762102436408,0.3037648290543326,0.11018762102436408
2,124,3,"[128, 256, 512]",5,0.4,128,2,0.0005,0.0,32,25,1.0,60,,,,,0.7270353635152181,0.07767737802659767,0.7009345794392523,0.015261618335097685,0.6491644596908578,0.03665175077696156,0.8078052773765924,0.07966242897799053,0.2981692974859479,0.09703700619246947,0.2981692974859479,0.09703700619246947
3,42,3,"[128, 256, 512]",3,0.2,128,2,0.0003,0.0,16,12,1.0,60,,,,,0.7315294103830404,0.07790453180193899,0.6822429906542057,0.03052323667019537,0.6365299081094156,0.052847685779824065,0.818354960771063,0.0790842189091723,0.2960374645857277,0.09853527246236961,0.2960374645857277,0.09853527246236961
4,51,3,"[128, 256, 512]",3,0.0,128,1,0.0003,1e-05,8,25,0.5,60,,,,,0.7214595460074712,0.07984004479981631,0.6947040498442366,0.05520263285566776,0.6680554924513218,0.06593492002467488,0.816972592418137,0.0649188505885785,0.29587673479247395,0.12464658790086143,0.29587673479247395,0.12464658790086143
5,11,3,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,,,,,0.7149459938765315,0.08491641338964175,0.6978193146417445,0.04964915093616582,0.6637315903801446,0.07212100316187837,0.815537689849715,0.07233123710120487,0.29357893606152274,0.11805113706542136,0.29357893606152274,0.11805113706542136
6,115,3,"[128, 256, 512]",3,0.0,256,2,0.0003,1e-05,8,25,0.5,60,,,,,0.7112668327453352,0.0811045977132071,0.6947040498442366,0.011656253541351844,0.6698188401133539,0.04169782151964315,0.8231530774653746,0.07581221165160876,0.29022028588257437,0.0918937711220036,0.29022028588257437,0.0918937711220036
7,23,3,"[32, 64, 128]",5,0.0,128,1,0.001,0.0001,32,25,0.5,60,,,,,0.7352879444758097,0.0986282467521536,0.6822429906542055,0.03496876062405553,0.6513729818359967,0.05036722131745616,0.8346103795103975,0.054449981815764034,0.29014254197311357,0.11164409645802068,0.29014254197311357,0.11164409645802068
8,81,3,"[128, 256, 512]",3,0.4,128,1,0.0003,0.0001,16,12,0.5,60,,,,,0.725493912570573,0.06435042226158705,0.7040498442367601,0.02679852108112968,0.6649912129822253,0.04640964101082776,0.8136629111841721,0.05737528329809797,0.28876411036960536,0.08874250584121807,0.28876411036960536,0.08874250584121807
9,114,3,"[32, 64, 128]",5,0.4,256,1,0.0005,1e-05,32,12,0.5,60,,,,,0.7305563489596049,0.04081043992663078,0.6915887850467289,0.020189223359526047,0.6402326954734536,0.04102490129203045,0.8089578262605817,0.06665757938352418,0.28721376614431277,0.06717391859408803,0.28721376614431277,0.06717391859408803
10,3,3,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,,,,,0.7448830114346797,0.05453811113601113,0.6978193146417446,0.04599633352097633,0.6619862896019932,0.05159364822287544,0.8324011897992928,0.05690755853157215,0.28676618974031926,0.07967888337129678,0.28676618974031926,0.07967888337129678
11,95,3,"[128, 256, 512]",5,0.4,128,1,0.0003,0.0,32,12,0.5,60,,,,,0.7484067479769388,0.05422669426865276,0.6884735202492211,0.011656253541351844,0.634991308476657,0.051121127715901576,0.8090799601766393,0.07421848508271028,0.28480236933762987,0.08584972334528446,0.28480236933762987,0.08584972334528446
12,80,3,"[64, 128, 256]",5,0.2,256,1,0.0003,0.0,32,25,0.5,60,,,,,0.7286511858304342,0.07299807714979642,0.707165109034268,0.019203781940713323,0.6658659144070279,0.04708739550252142,0.8119863905642126,0.07135250545064332,0.2845865136475317,0.09310579623196659,0.2845865136475317,0.09310579623196659
13,99,3,"[32, 64, 128]",3,0.2,128,1,0.001,0.0001,16,25,0.5,60,,,,,0.7232868558149844,0.053801792185034725,0.6978193146417445,0.024529619545208138,0.659274645835764,0.046090499035235794,0.8167994865478354,0.048851946307386165,0.28345788581614917,0.08428841430541223,0.28345788581614917,0.08428841430541223
14,102,3,"[32, 64, 128]",3,0.2,256,2,0.0003,0.0,16,25,0.5,60,,,,,0.7493880548952525,0.06653874982244407,0.6884735202492211,0.050808431247040785,0.6458061439384478,0.09244150448777178,0.8123339292265928,0.06755438833595559,0.2824221493789694,0.08894928580183692,0.2824221493789694,0.08894928580183692
15,121,3,"[128, 256, 512]",3,0.4,256,1,0.0003,1e-05,32,25,0.5,60,,,,,0.7362540165583292,0.0698667390086688,0.6666666666666666,0.023312507082703687,0.6236186599757813,0.045145657943939724,0.8055870372291315,0.06219159413685324,0.2812904445589241,0.08625241317553714,0.2812904445589241,0.08625241317553714
16,29,3,"[64, 128, 256]",3,0.4,512,1,0.001,1e-05,16,12,0.5,60,,,,,0.769047646321983,0.10513908994204657,0.7227414330218068,0.0352451978161519,0.680406794044082,0.05866910981587184,0.8269992440692926,0.06567497056603896,0.28082368691594445,0.1403264727478705,0.28082368691594445,0.1403264727478705
17,122,3,"[32, 64, 128]",5,0.4,512,1,0.0005,0.0,32,25,0.5,60,,,,,0.7400271693865458,0.09687053347500965,0.6978193146417445,0.011656253541351842,0.6411793564217457,0.05860628357576498,0.8076039440533647,0.08854224942692629,0.28000307300106814,0.10248714814216268,0.28000307300106814,0.10248714814216268
