month,sst_lag0,sst_lag1,sst_lag2,sst_lag3,tauu_lag0,tauu_lag1,tauu_lag2,tauu_lag3,olr_lag0,olr_lag1,olr_lag2,olr_lag3,slp_lag0,slp_lag1,slp_lag2,slp_lag3,d20_lag0,d20_lag1,d20_lag2,d20_lag3
1,8.289247e-05,3.6163994e-05,2.4696008e-05,3.016286e-05,5.444446e-05,4.5335804e-05,3.0590014e-05,1.9373592e-05,8.340926e-05,7.3050054e-05,2.7284326e-05,3.8424987e-05,2.3497774e-05,2.834437e-05,1.6135473e-05,1.220089e-05,8.707083e-05,4.6000834e-05,3.793351e-05,2.9933211e-05
2,7.6335884e-05,3.326802e-05,2.3912968e-05,3.0989875e-05,6.177326e-05,4.417437e-05,3.428298e-05,2.0878566e-05,8.572016e-05,7.542961e-05,2.8877454e-05,3.905218e-05,2.3871953e-05,2.9839084e-05,1.6356467e-05,1.3823008e-05,8.5769105e-05,4.7115594e-05,3.8049508e-05,3.0176381e-05
3,7.290051e-05,2.9596245e-05,2.2085202e-05,3.1325893e-05,5.244116e-05,5.2396543e-05,3.5774887e-05,2.3339426e-05,9.138171e-05,7.891424e-05,2.9945912e-05,4.0573716e-05,2.284178e-05,2.9028182e-05,1.6961276e-05,1.386668e-05,7.688407e-05,4.6994395e-05,3.6668953e-05,2.9349321e-05
4,6.53593e-05,2.8097287e-05,2.0106856e-05,3.0492956e-05,4.806947e-05,4.3204313e-05,4.2613206e-05,2.2970165e-05,8.0195685e-05,8.228509e-05,2.985216e-05,4.1523963e-05,1.848747e-05,2.6383997e-05,1.7532126e-05,1.5086222e-05,7.5149066e-05,4.3102464e-05,3.6985402e-05,2.991227e-05
5,6.7323155e-05,2.6989417e-05,1.9593332e-05,2.9536941e-05,5.05459e-05,4.129008e-05,3.592202e-05,2.9149598e-05,8.4291714e-05,7.687983e-05,3.103875e-05,4.562826e-05,2.1676795e-05,2.2796461e-05,1.7093087e-05,1.5348247e-05,7.6337135e-05,4.351583e-05,3.7020156e-05,3.1195083e-05
6,7.156884e-05,2.8233315e-05,2.0274781e-05,2.949553e-05,4.274382e-05,4.0662726e-05,3.2249067e-05,2.3208802e-05,7.391562e-05,8.120098e-05,3.08155e-05,4.727005e-05,2.3096547e-05,2.4924308e-05,1.386378e-05,1.5065292e-05,7.549693e-05,4.3427033e-05,3.799208e-05,3.0817624e-05
7,7.728756e-05,3.0395828e-05,2.1657814e-05,2.9102754e-05,5.6296452e-05,3.6472054e-05,3.383417e-05,2.1555456e-05,7.7569064e-05,7.092893e-05,3.2605833e-05,4.5511075e-05,2.0565294e-05,2.763965e-05,1.5599353e-05,1.2395463e-05,7.761132e-05,4.5078792e-05,3.827618e-05,3.0329626e-05
8,9.3345996e-05,3.572173e-05,2.462093e-05,3.0856143e-05,5.508551e-05,4.849794e-05,3.395558e-05,2.3753117e-05,7.829414e-05,7.8032856e-05,3.0488312e-05,4.9744463e-05,2.574307e-05,2.6248092e-05,1.8686345e-05,1.5619999e-05,9.4911586e-05,4.9047187e-05,4.175808e-05,3.34947e-05
9,0.00010105098,3.8714217e-05,2.6897656e-05,3.2638312e-05,6.671212e-05,4.5547564e-05,3.7729653e-05,2.1233673e-05,8.199348e-05,7.391782e-05,3.2772434e-05,4.7094756e-05,2.9468107e-05,3.087167e-05,1.6576432e-05,1.7221775e-05,9.984093e-05,5.3954576e-05,4.1644707e-05,3.3637512e-05
10,0.00010106568,3.7429298e-05,2.6749718e-05,3.2215874e-05,5.439685e-05,5.23066e-05,3.5094024e-05,2.5325535e-05,8.2127925e-05,7.3859635e-05,2.8253966e-05,4.5715984e-05,2.3030756e-05,3.4476845e-05,1.917476e-05,1.4098445e-05,0.0001057061,5.509703e-05,4.3053966e-05,3.1686533e-05
11,0.000105638326,4.102304e-05,2.7845657e-05,3.3271765e-05,5.594898e-05,4.4562228e-05,4.1527426e-05,2.2866689e-05,8.6386055e-05,7.5248325e-05,2.9767476e-05,3.9660714e-05,2.6500775e-05,2.9010342e-05,2.0968662e-05,1.5807018e-05,0.00010234161,5.767449e-05,4.37472e-05,3.2989592e-05
12,9.737365e-05,3.9471277e-05,2.7239848e-05,3.2588137e-05,5.968653e-05,4.363505e-05,3.232754e-05,2.5800013e-05,8.7370274e-05,7.308301e-05,2.8910577e-05,3.9119743e-05,2.473819e-05,3.20704e-05,1.5086569e-05,1.7123704e-05,9.287441e-05,5.2427422e-05,4.2111307e-05,3.1406933e-05
