rank,trial_id,n_folds,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_val_loss,std_best_val_loss,mean_val_rmse,std_val_rmse,mean_val_mae,std_val_mae,mean_val_corr,std_val_corr,mean_val_r2,std_val_r2,mean_selection_score,std_selection_score
1,33,3,"[64, 128, 256, 512]",5,0.4,512,1,0.0005,0.0001,8,12,1.0,60,,,,,0.17415050192042672,0.010859022330681232,0.417106827100118,0.013164578119167283,0.3401575783888499,0.018104799189542654,0.866331194489684,0.029052215064300495,0.7419065833091736,0.054204780694585696,0.7419065833091736,0.054204780694585696
2,6,3,"[64, 128, 256, 512]",5,0.2,512,1,0.001,0.0001,32,25,0.5,60,,,,,0.17733869949976602,0.02423189722772476,0.4200788935025533,0.029536976146952894,0.33223647872606915,0.027615539068320052,0.8619622991702719,0.02915566383214212,0.7407628297805786,0.049539317115137274,0.7407628297805786,0.049539317115137274
3,85,3,"[64, 128, 256, 512]",5,0.2,256,2,0.0005,0.0001,32,12,1.0,60,,,,,0.17555408676465353,0.012074276372447972,0.4187384744485219,0.01456618935328031,0.3358258108297984,0.013042115090743392,0.8681738116491217,0.028915096151731327,0.7397631605466207,0.05486662640391585,0.7397631605466207,0.05486662640391585
4,46,3,"[64, 128, 256, 512]",5,0.2,128,2,0.001,1e-05,8,12,1.0,60,,,,,0.1815630069634996,0.02376413957398826,0.4252129892508189,0.027530039646888427,0.3298133412996928,0.03168670447777672,0.8660757146082525,0.019362402833555777,0.7369417945543925,0.03134503752161753,0.7369417945543925,0.03134503752161753
5,64,3,"[64, 128, 256, 512]",5,0.2,128,1,0.001,1e-05,32,25,0.5,60,,,,,0.17800710101922354,0.02502406169582178,0.42086711525917053,0.029630825856367688,0.33821168541908264,0.012035115388479985,0.8720970944093634,0.03620080713175135,0.7346168359120687,0.07158340082205752,0.7346168359120687,0.07158340082205752
6,56,3,"[64, 128, 256, 512]",5,0.4,512,1,0.0003,1e-05,8,12,1.0,60,,,,,0.18800147186465724,0.028703912570637466,0.43230391542116803,0.033397884454751996,0.33008591334025067,0.02541133456126346,0.8564039778645252,0.04227426570691849,0.7208103140195211,0.07459956657850997,0.7208103140195211,0.07459956657850997
7,76,3,"[64, 128, 256, 512]",3,0.2,256,2,0.0005,0.0,16,12,1.0,60,,,,,0.1918220491006367,0.03140161656089336,0.43640439709027606,0.037057365304384915,0.3372179965178172,0.03456548727834901,0.8573999875985545,0.03794065187766228,0.7204633752504984,0.056676961473179376,0.7204633752504984,0.056676961473179376
8,40,3,"[64, 128, 256, 512]",5,0.2,512,2,0.0005,0.0,32,25,0.5,60,,,,,0.19245063761870065,0.03342092404214483,0.43694544831911725,0.03910667197457771,0.34347353378931683,0.0281282641418253,0.852367097739155,0.043772786400328945,0.7163556615511576,0.07388312061482111,0.7163556615511576,0.07388312061482111
9,68,3,"[64, 128, 256, 512]",3,0.0,128,2,0.0005,0.0,16,12,0.5,60,,,,,0.1945489833009577,0.03754684285751312,0.43886906901995343,0.04407865991659589,0.34184326728185016,0.034103904188871485,0.8522619057853679,0.04527769703634943,0.7144748369852701,0.07538117754770307,0.7144748369852701,0.07538117754770307
10,58,3,"[64, 128, 256]",5,0.2,512,1,0.0005,0.0,16,25,1.0,60,,,,,0.19516122798403476,0.029206032010448395,0.44045354922612506,0.03408674189431247,0.3523636957009633,0.024210479007113535,0.8493192388464531,0.03579444065982556,0.7144468228022257,0.059565751642122834,0.7144468228022257,0.059565751642122834
