trial_id,fold_id,train_start,train_end,val_start,val_end,channels,kernel_size,dropout,head_hidden,n_head_layers,lr,weight_decay,batch_size,patience,grad_clip,max_epochs,best_val_loss,val_rmse,val_mae,val_corr,val_r2
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,0.35314249992370605,0.5942579507827759,0.4865419864654541,0.6629993403015351,0.4154740571975708
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,0.5288273096084595,0.7272051572799683,0.5825580358505249,0.6784385561852134,0.4119578003883362
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",5,0.4,128,1,0.0003,1e-05,32,25,1.0,60,0.4608345925807953,0.6788480281829834,0.5486563444137573,0.5000194736288064,0.24590009450912476
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,0.4112346378442283,0.6412760019302368,0.48719322681427,0.582427445309822,0.31931883096694946
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,0.5884689031360305,0.767114520072937,0.572472870349884,0.6263719033161871,0.34564268589019775
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.4,512,1,0.0005,0.0001,8,25,0.5,60,0.4868249007474596,0.6977275609970093,0.5601190328598022,0.5072676418914122,0.20337200164794922
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,0.3880626665097531,0.6229467988014221,0.49282416701316833,0.6210681363799414,0.357673704624176
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,0.5109501247094056,0.7148077487945557,0.5702635049819946,0.7001112251518083,0.4318367838859558
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",5,0.4,128,2,0.0003,1e-05,16,12,0.5,60,0.44476307886783206,0.6669055819511414,0.5492420792579651,0.5687891779194213,0.27219921350479126
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.0,256,1,0.001,1e-05,8,12,0.5,60,0.38390367387611174,0.6195971369743347,0.4794671833515167,0.6235386579638829,0.3645629286766052
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.0,256,1,0.001,1e-05,8,12,0.5,60,0.5401846370964407,0.7349730730056763,0.5919846296310425,0.7216649147910363,0.3993278741836548
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.0,256,1,0.001,1e-05,8,12,0.5,60,0.48991026945203264,0.6999362111091614,0.5746325850486755,0.471899795066941,0.1983206868171692
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,0.43292608857154846,0.6579711437225342,0.5473603010177612,0.5795535989146392,0.28341537714004517
5,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,0.5143756866455078,0.7171999216079712,0.5721074938774109,0.7497913102862285,0.4280276894569397
5,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,128,2,0.0005,1e-05,32,12,0.5,60,0.475707471370697,0.6897153854370117,0.554061233997345,0.4785400670653557,0.2215626835823059
6,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.2,512,1,0.001,0.0001,32,25,0.5,60,0.42753103375434875,0.6538586020469666,0.5462518930435181,0.568277115670004,0.29234522581100464
6,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.2,512,1,0.001,0.0001,32,25,0.5,60,0.4885338544845581,0.6989520192146301,0.5454130172729492,0.6862314908408135,0.4567630887031555
6,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.2,512,1,0.001,0.0001,32,25,0.5,60,0.48036858439445496,0.6930863261222839,0.553367018699646,0.5165620991375194,0.2139350175857544
7,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,512,2,0.0005,1e-05,32,25,1.0,60,0.43930965662002563,0.662804901599884,0.47365063428878784,0.5524966835975181,0.2728479504585266
7,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.2,512,2,0.0005,1e-05,32,25,1.0,60,0.6568248867988586,0.8104475140571594,0.5714115500450134,0.6418074502381649,0.26962751150131226
7,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.2,512,2,0.0005,1e-05,32,25,1.0,60,0.4717261493206024,0.6868231892585754,0.5515719056129456,0.5032855874947652,0.22807753086090088
8,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.3826363120123605,0.6185759902000427,0.48672395944595337,0.6139815603952953,0.3666556477546692
8,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.4615514491484544,0.6793757677078247,0.48990046977996826,0.7208342405910216,0.48676687479019165
8,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.2,512,1,0.0003,0.0,16,25,1.0,60,0.48257499209074217,0.6946761608123779,0.5711498856544495,0.5029886777365323,0.21032458543777466
9,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.3399964660127586,0.5830903649330139,0.4680882692337036,0.6618692331174204,0.4372369647026062
9,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.4803206915053252,0.6930519938468933,0.5187367796897888,0.6893113794680279,0.46589547395706177
9,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",3,0.2,128,1,0.0005,0.0,8,12,1.0,60,0.57313168981922,0.7570549845695496,0.5879496335983276,0.4563310215497313,0.06213861703872681
10,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,0.49693275667796627,0.7049391269683838,0.5457453727722168,0.4496331854933878,0.17746001482009888
10,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,0.6411721505851389,0.800726056098938,0.6243578195571899,0.6306850367229828,0.2870444059371948
10,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.2,512,2,0.0005,0.0001,8,12,1.0,60,0.453444324364172,0.6733834147453308,0.5414363741874695,0.5167762016057565,0.2579919099807739
11,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,0.42147886530261175,0.6492145657539368,0.5370064973831177,0.5893893965157004,0.30236178636550903
11,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,0.45042858669691,0.6711410284042358,0.49748989939689636,0.7076821340632399,0.49913328886032104
11,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.4,256,1,0.0005,0.0001,8,12,1.0,60,0.5048435068576136,0.710523784160614,0.5779706239700317,0.4527935452032027,0.17388391494750977
12,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,0.0,32,25,1.0,60,0.3903922140598297,0.6248136758804321,0.5036249756813049,0.6348489070216794,0.3538181185722351
12,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,0.0,32,25,1.0,60,0.5159599781036377,0.7183036208152771,0.5399783849716187,0.7500824537758665,0.4262658357620239
12,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,128,1,0.0005,0.0,32,25,1.0,60,0.4898710250854492,0.6999077796936035,0.5487654209136963,0.5169852338674124,0.19838571548461914
13,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,512,2,0.0005,0.0001,16,25,0.5,60,0.4254467314648851,0.6522627472877502,0.4938904643058777,0.6069069217332238,0.295795202255249
13,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,512,2,0.0005,0.0001,16,25,0.5,60,0.4524095175422241,0.6726139187812805,0.5417675375938416,0.7164783163687183,0.4969324469566345
13,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,512,2,0.0005,0.0001,16,25,0.5,60,0.4342487719014426,0.6589755415916443,0.5266833305358887,0.5555890733837624,0.28940463066101074
14,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,0.49029019474983215,0.7002072930335999,0.5148667097091675,0.488808440115645,0.18846535682678223
14,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,0.4825197458267212,0.6946364641189575,0.5186019539833069,0.6891580125981571,0.46345055103302
14,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.4,128,2,0.0003,0.0001,32,12,0.5,60,0.4730677902698517,0.6877992749214172,0.5303796529769897,0.4928546749281735,0.22588187456130981
15,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.4,128,1,0.001,0.0,32,12,0.5,60,0.4390835165977478,0.6626337766647339,0.5122631192207336,0.5477259413085871,0.2732234001159668
15,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",3,0.4,128,1,0.001,0.0,32,12,0.5,60,0.5453518033027649,0.738479495048523,0.5021917819976807,0.6696613917841736,0.39358288049697876
15,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",3,0.4,128,1,0.001,0.0,32,12,0.5,60,0.5026958584785461,0.7090102434158325,0.5752742290496826,0.42585741833320634,0.1773998737335205
16,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,0.38486830319199605,0.6203775405883789,0.5361941456794739,0.6890126645563689,0.3629611134529114
16,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,0.47507470790470874,0.6892566680908203,0.5331825017929077,0.6979228318191345,0.4717292785644531
16,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256, 512]",5,0.0,256,2,0.0005,1e-05,16,25,0.5,60,0.47285429645921584,0.6876440048217773,0.5408827662467957,0.505191738163406,0.22623133659362793
17,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[64, 128, 256]",3,0.2,256,1,0.0003,1e-05,32,12,1.0,60,0.4542941153049469,0.6740134358406067,0.5152761936187744,0.5395498004714057,0.2480466365814209
17,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[64, 128, 256]",3,0.2,256,1,0.0003,1e-05,32,12,1.0,60,0.6951102614402771,0.8337327837944031,0.6959531307220459,0.6590189050410855,0.22705543041229248
17,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[64, 128, 256]",3,0.2,256,1,0.0003,1e-05,32,12,1.0,60,0.49118688702583313,0.7008472681045532,0.5654148459434509,0.4510477469791893,0.19623225927352905
18,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,0.3735646499651615,0.6111993193626404,0.45484307408332825,0.6363792174547241,0.38167113065719604
18,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,0.5294372573077122,0.7276243567466736,0.5676195621490479,0.6710558900250135,0.4112796187400818
18,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[128, 256, 512]",5,0.2,128,1,0.001,0.0001,16,12,1.0,60,0.45293008139200297,0.6730008125305176,0.5422561764717102,0.5353437297417546,0.25883495807647705
19,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,0.39079938675755654,0.6251437067985535,0.5360158085823059,0.6330764489464259,0.35313522815704346
19,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,0.6036874735466787,0.7769720554351807,0.5768089890480042,0.6754890759739506,0.3287174701690674
19,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",5,0.2,512,1,0.0003,1e-05,8,12,1.0,60,0.48713359877327894,0.6979555487632751,0.5601946711540222,0.46520620843098603,0.20285135507583618
20,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,0.4210177802036856,0.6488588452339172,0.5038173198699951,0.5671180552192226,0.30312609672546387
20,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,0.531033500611225,0.728720486164093,0.5671685934066772,0.6606525548256466,0.40950465202331543
20,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,"[32, 64, 128]",3,0.4,512,1,0.0005,1e-05,16,12,0.5,60,0.5027240651233174,0.7090303897857666,0.5683673620223999,0.4792829737230877,0.17735302448272705
21,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,"[128, 256, 512]",3,0.2,256,2,0.0003,0.0,16,12,1.0,60,0.39408229277512735,0.6277596950531006,0.49021434783935547,0.6197399766633325,0.3477100729942322
