lead_months,feature,rank,mean_abs_shap
3,sst_nino34,1,0.3097846508026123
3,tauu_eq,2,0.2793353199958801
3,sst_nino3,3,0.25211086869239807
3,d20_nino4,4,0.20776544511318207
3,d20_nino34,5,0.15823635458946228
3,sst_nino4,6,0.13377991318702698
3,olr_eq,7,0.10094641894102097
3,slp_eq,8,0.09448904544115067
3,sst_nino12,9,0.06058310717344284
6,tauu_eq,1,0.32976576685905457
6,slp_eq,2,0.27980300784111023
6,d20_nino4,3,0.273335725069046
6,sst_nino34,4,0.20231127738952637
6,olr_eq,5,0.1803697943687439
6,sst_nino12,6,0.1602461189031601
6,sst_nino3,7,0.15952511131763458
6,d20_nino34,8,0.1447930485010147
6,sst_nino4,9,0.10644612461328506
12,d20_nino4,1,0.22254370152950287
12,sst_nino12,2,0.1899949163198471
12,tauu_eq,3,0.12918943166732788
12,d20_nino34,4,0.07060814648866653
12,slp_eq,5,0.04911885783076286
12,sst_nino4,6,0.038553718477487564
12,sst_nino34,7,0.03124230168759823
12,sst_nino3,8,0.030094586312770844
12,olr_eq,9,0.022848328575491905
