rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
1,205,val_bss,0.3291341955346224,0.21836734656515583,3,32,1,0.0,0.001,0.0,16,12,60
2,218,val_bss,0.3197465820307933,0.18146264393028036,3,32,1,0.5,0.001,0.0001,64,12,60
3,46,val_bss,0.3155349136237823,0.21455080323959336,3,64,1,0.0,0.001,1e-05,64,12,60
4,138,val_bss,0.3139886782454518,0.1845759065331897,3,256,2,0.0,0.0005,0.0,16,6,60
5,228,val_bss,0.31382224998709113,0.1685541974290212,3,256,1,0.1,0.001,0.0,16,12,60
6,235,val_bss,0.30977803495609596,0.21297222720705175,3,128,1,0.0,0.001,0.0,32,12,60
7,217,val_bss,0.3034175964731001,0.22564393962058255,3,64,1,0.1,0.001,1e-05,32,12,60
8,249,val_bss,0.3017583307853447,0.18347637600749564,3,128,1,0.1,0.001,1e-05,32,9,60
9,42,val_bss,0.30051847750726607,0.18647621160976002,3,128,1,0.0,0.001,0.0,32,6,60
10,98,val_bss,0.2994914184897084,0.17947551369056797,3,256,1,0.0,0.001,0.0,64,12,60
11,118,val_bss,0.2983301275321077,0.14202313650280524,3,256,2,0.5,0.001,0.0001,16,6,60
12,253,val_bss,0.29753458276726524,0.1654313491449732,3,32,1,0.3,0.0005,0.0001,16,9,60
13,215,val_bss,0.2961530534949537,0.20390171850995276,3,64,1,0.1,0.001,0.0,64,12,60
14,125,val_bss,0.29607669958471855,0.1609249958398431,3,64,1,0.0,0.001,0.0,16,6,60
15,229,val_bss,0.2951347574509452,0.1771534881188574,3,128,1,0.3,0.001,0.0,16,12,60
16,224,val_bss,0.29430311737945064,0.14933571796108408,3,128,2,0.0,0.001,0.0001,32,6,60
17,83,val_bss,0.29345533938215096,0.20159336345880513,3,128,1,0.1,0.001,0.0001,32,6,60
18,35,val_bss,0.29326270791089626,0.18903460098707306,3,64,1,0.3,0.0003,0.0,32,12,60
19,210,val_bss,0.29275659712710894,0.1962215276733121,3,32,2,0.0,0.001,0.0001,64,12,60
20,129,val_bss,0.2921699183238702,0.20143897033791178,3,64,1,0.0,0.001,0.0,64,6,60
