feature_i,feature_j,mean_abs_shap_product,signed_shap_corr
sst_nino34,sst_nino3,0.1172104196998724,0.9363247969259767
sst_nino34,tauu_eq,0.09030203923328714,0.11818873896305182
tauu_eq,sst_nino3,0.07247830748785943,0.07174390717058542
sst_nino34,d20_nino34,0.06595419007147806,0.6929037165079873
sst_nino34,d20_nino4,0.06253473996322108,-0.08374268570144527
sst_nino3,d20_nino34,0.05582026103845002,0.7254355022640119
sst_nino34,sst_nino4,0.05544007523373789,0.8146994051697325
tauu_eq,d20_nino4,0.05362688181551406,-0.29462365472083063
sst_nino3,d20_nino4,0.05143722450086235,-0.048080449395543
tauu_eq,d20_nino34,0.04502482139496654,0.04915736479232179
sst_nino3,sst_nino4,0.04482714587898522,0.7191938179073453
sst_nino34,olr_eq,0.039740807998259055,0.7449225736803909
tauu_eq,sst_nino4,0.038606802914574176,0.10503336757684271
d20_nino4,d20_nino34,0.034438475620931906,0.13618937956355648
sst_nino3,olr_eq,0.03168247131947726,0.6102749692842044
sst_nino34,slp_eq,0.030960395191325093,0.2601004340911109
d20_nino4,sst_nino4,0.02907013921504325,0.1581352772826031
tauu_eq,olr_eq,0.027745006059655308,-0.05809598632235641
d20_nino34,sst_nino4,0.02723881275354742,0.672157246930691
tauu_eq,slp_eq,0.02690989746628801,0.11582445373088951
sst_nino3,slp_eq,0.025280422543985798,0.2500432785776733
sst_nino34,sst_nino12,0.023911026082184334,0.41693869260218563
sst_nino3,sst_nino12,0.022381125625485086,0.6413820683484664
d20_nino4,olr_eq,0.02049669210937975,-0.08928567448711132
d20_nino4,slp_eq,0.01960063759644079,-0.010144794893987953
d20_nino34,olr_eq,0.01792719358949062,0.32694603218873264
tauu_eq,sst_nino12,0.016691111507012624,-0.027414284073472454
sst_nino4,olr_eq,0.015843424893715898,0.5567561471931055
d20_nino34,slp_eq,0.015242122907620819,0.08510843619054033
d20_nino4,sst_nino12,0.013290387253714031,0.12146050256495439
sst_nino4,slp_eq,0.012844889898058999,0.08508128890361195
d20_nino34,sst_nino12,0.012632254165692528,0.4697393176400953
olr_eq,slp_eq,0.010010529191863328,0.2973763055992992
sst_nino4,sst_nino12,0.009666133441344798,0.3425481332043332
olr_eq,sst_nino12,0.006504852192243447,0.12903779533620388
slp_eq,sst_nino12,0.005847673744283129,0.07152788798031291
