trial_id,fold,train_start,train_end,val_start,val_end,selection_metric,selection_score,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs,best_val_loss,best_epoch,epochs_ran,val_rmse,val_mae,val_corr,val_r2
1,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.8565876483917236,256,1,0.0,0.0005,0.0,16,6,60,0.1544256009734594,7,27,0.3929702043533325,0.3251071274280548,0.9477287813505,0.8565876483917236
1,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.5917825698852539,256,1,0.0,0.0005,0.0,16,6,60,0.21127557525267968,10,30,0.4596472382545471,0.38766226172447205,0.7793338473309857,0.5917825698852539
1,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.7178703546524048,256,1,0.0,0.0005,0.0,16,6,60,0.15214602951007553,20,40,0.3900589942932129,0.3058073818683624,0.8549224298991258,0.7178703546524048
2,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.8022453784942627,32,2,0.0,0.001,0.0001,64,6,60,0.2129410058259964,33,53,0.4614553153514862,0.35502925515174866,0.9365497332486081,0.8022453784942627
2,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.4905906915664673,32,2,0.0,0.001,0.0001,64,6,60,0.263648122549057,36,56,0.5134667158126831,0.4293784201145172,0.7349487679742988,0.4905906915664673
2,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.6886481046676636,32,2,0.0,0.001,0.0001,64,6,60,0.16790492832660675,44,60,0.40976202487945557,0.33535662293434143,0.8393296130142107,0.6886481046676636
3,1,1979-06-01,1995-05-01,1995-06-01,2001-11-01,val_r2,0.5246239900588989,32,1,0.0,0.0001,0.0001,32,6,60,0.5118821263313293,60,60,0.715459406375885,0.5205063223838806,0.8276994873083097,0.5246239900588989
3,2,1979-06-01,2001-11-01,2001-12-01,2008-05-01,val_r2,0.4013299345970154,32,1,0.0,0.0001,0.0001,32,6,60,0.30984559655189514,52,60,0.5566377639770508,0.48176687955856323,0.6408006791055454,0.4013299345970154
3,3,1979-06-01,2008-05-01,2008-06-01,2014-12-01,val_r2,0.36380481719970703,32,1,0.0,0.0001,0.0001,32,6,60,0.34308546781539917,60,60,0.5857349634170532,0.46403637528419495,0.6444328082164397,0.36380481719970703
4,1,1979-09-01,1995-06-01,1995-07-01,2001-12-01,val_r2,0.8285274505615234,256,2,0.0,0.001,1e-05,32,9,60,0.18444198369979858,4,24,0.429467111825943,0.3453391492366791,0.9455160628629263,0.8285274505615234
