rank,trial_id,selection_metric,mean_selection_score,std_selection_score,n_folds,hidden_size,num_layers,dropout,lr,weight_decay,batch_size,sequence_length,max_epochs
1,12,val_r2,0.2751020590464274,0.33011413866746425,3,256,2,0.0,0.001,1e-05,16,6,60
2,135,val_r2,0.2745763460795085,0.28745925793398597,3,32,2,0.1,0.0005,0.0001,16,6,60
3,129,val_r2,0.27070363362630206,0.28487650865257536,3,64,1,0.0,0.001,0.0,64,6,60
4,92,val_r2,0.26076364517211914,0.30167621895314317,3,64,1,0.3,0.001,1e-05,32,9,60
5,127,val_r2,0.2588653763135274,0.3023507615386067,3,256,1,0.5,0.001,0.0001,64,6,60
6,33,val_r2,0.2513506809870402,0.32895490487296314,3,128,1,0.1,0.001,0.0,32,6,60
7,76,val_r2,0.2469722032546997,0.2906684505544707,3,256,1,0.1,0.001,0.0,64,12,60
8,224,val_r2,0.24658183256785074,0.3598756342338391,3,128,2,0.0,0.001,0.0001,32,6,60
9,124,val_r2,0.24612212181091309,0.29457604682466004,3,32,1,0.3,0.0003,0.0,16,9,60
10,216,val_r2,0.24555979172388712,0.2732339667400617,3,32,1,0.3,0.001,0.0001,32,6,60
11,173,val_r2,0.24539266029993692,0.32028008764046384,3,256,1,0.5,0.0005,1e-05,16,6,60
12,11,val_r2,0.24460377295811972,0.27273169049341484,3,256,1,0.1,0.0003,1e-05,64,12,60
13,2,val_r2,0.2445751428604126,0.24509047829139732,3,32,2,0.0,0.001,0.0001,64,6,60
14,56,val_r2,0.24455052614212036,0.2900324379091892,3,64,1,0.3,0.001,0.0,32,6,60
15,144,val_r2,0.24275978406270346,0.2906285707324771,3,128,1,0.0,0.001,0.0001,64,12,60
16,60,val_r2,0.24268515904744467,0.3400810290029287,3,128,1,0.1,0.0005,0.0001,16,6,60
17,252,val_r2,0.24237505594889322,0.28988286427276244,3,64,1,0.0,0.0003,0.0,16,12,60
18,234,val_r2,0.24195448557535806,0.3231234658125097,3,128,2,0.5,0.001,0.0,16,6,60
19,208,val_r2,0.24121012290318808,0.27258856288088795,3,128,1,0.3,0.0003,0.0,32,6,60
20,16,val_r2,0.2410536209742228,0.3584171243459072,3,128,1,0.0,0.001,0.0,16,6,60
21,30,val_r2,0.24039951960245767,0.3144876320427279,3,128,2,0.0,0.0003,0.0001,16,6,60
22,151,val_r2,0.23906002442042032,0.29293541476051144,3,128,1,0.3,0.0003,0.0001,32,12,60
23,182,val_r2,0.2373997966448466,0.32684626912146125,3,128,1,0.0,0.0005,0.0001,64,9,60
24,102,val_r2,0.23692983388900757,0.31684654519083244,3,64,1,0.1,0.0005,0.0,32,6,60
25,98,val_r2,0.23676550388336182,0.29537870048371256,3,256,1,0.0,0.001,0.0,64,12,60
26,150,val_r2,0.23619059721628824,0.30015575212567314,3,128,1,0.5,0.0005,0.0,64,12,60
27,103,val_r2,0.2353456417719523,0.2684225914748187,3,32,2,0.3,0.001,0.0001,32,6,60
28,253,val_r2,0.23480012019475302,0.2579585155636261,3,32,1,0.3,0.0005,0.0001,16,9,60
29,236,val_r2,0.23396615187327066,0.32693789552632757,3,64,1,0.0,0.001,0.0,32,6,60
30,192,val_r2,0.23343515396118164,0.31287088056159645,3,128,1,0.5,0.0005,0.0,16,6,60
31,110,val_r2,0.23334447542826334,0.256423922533545,3,64,1,0.0,0.0005,0.0,64,12,60
32,138,val_r2,0.2327380577723185,0.32990437040550147,3,256,2,0.0,0.0005,0.0,16,6,60
33,240,val_r2,0.23256681362787882,0.29820303220974487,3,256,1,0.3,0.001,1e-05,64,12,60
34,100,val_r2,0.23240427176157633,0.3021298290685001,3,128,2,0.0,0.0005,0.0,16,6,60
35,205,val_r2,0.2322231332461039,0.2624741753194503,3,32,1,0.0,0.001,0.0,16,12,60
36,42,val_r2,0.23211083809534708,0.3385364726433692,3,128,1,0.0,0.001,0.0,32,6,60
37,1,val_r2,0.23133567969004312,0.37079121990205366,3,256,1,0.0,0.0005,0.0,16,6,60
38,237,val_r2,0.2313045064608256,0.32034991545266295,3,128,2,0.0,0.0005,0.0001,32,6,60
39,9,val_r2,0.23073309659957886,0.2998145391624297,3,256,1,0.5,0.0001,0.0001,16,9,60
40,246,val_r2,0.2307084004084269,0.2652931604988217,3,64,2,0.3,0.001,1e-05,64,12,60
41,181,val_r2,0.2306372125943502,0.24546345288960025,3,64,1,0.5,0.001,1e-05,32,12,60
42,141,val_r2,0.23056270678838095,0.2790694983907015,3,64,1,0.1,0.0001,0.0001,32,12,60
43,171,val_r2,0.2302626371383667,0.25669283084274763,3,32,1,0.0,0.0005,0.0001,16,12,60
44,239,val_r2,0.22904634475708008,0.2734308521547662,3,256,1,0.5,0.0003,0.0001,16,9,60
45,125,val_r2,0.22887951135635376,0.3177877293506266,3,64,1,0.0,0.001,0.0,16,6,60
46,77,val_r2,0.2285870909690857,0.2686184651637698,3,64,1,0.0,0.0003,1e-05,64,6,60
47,58,val_r2,0.2281480828921,0.2162605344775241,3,32,1,0.1,0.0003,1e-05,64,6,60
48,24,val_r2,0.22685843706130981,0.2916499631689504,3,32,1,0.1,0.001,0.0,16,6,60
49,137,val_r2,0.2267519235610962,0.26617166610572157,3,64,1,0.1,0.0005,1e-05,16,12,60
50,143,val_r2,0.22645139694213867,0.3436148909377014,3,128,2,0.3,0.001,0.0001,16,6,60
51,130,val_r2,0.22638907035191855,0.24467175573241157,3,256,1,0.0,0.0001,1e-05,16,12,60
52,169,val_r2,0.22631452480951944,0.307874891853077,3,64,1,0.1,0.0003,0.0,32,6,60
53,41,val_r2,0.2253628373146057,0.2735915479727986,3,256,1,0.3,0.0005,0.0001,64,6,60
