predictor_group,mean_abs_shap,shap_share,model,lead_months
d20,0.00020629782,0.24194606,cnn,3
olr,0.0002321834,0.27230465,cnn,3
slp,8.370953e-05,0.09817453,cnn,3
sst,0.00017217638,0.20192844,cnn,3
tauu,0.00015829322,0.18564627,cnn,3
d20,0.0003182456,0.24880885,cnn,6
olr,0.0003672405,0.28711373,cnn,6
slp,0.0001390384,0.10870215,cnn,6
sst,0.00028204135,0.22050384,cnn,6
tauu,0.00017251085,0.13487138,cnn,6
d20,0.00036629895,0.34733495,cnn,12
olr,0.00020600576,0.19534044,cnn,12
slp,8.515517e-05,0.08074652,cnn,12
sst,0.00030942398,0.29340452,cnn,12
tauu,8.7714805e-05,0.08317364,cnn,12
nino,0.6542393,0.4096597,lstm,3
nino34,0.468021,0.2930569,lstm,3
olr,0.10094642,0.063208796,lstm,3
slp,0.094489045,0.059165437,lstm,3
tauu,0.27933532,0.17490913,lstm,3
nino,0.6995531,0.38089654,lstm,6
nino34,0.3471043,0.18899329,lstm,6
olr,0.1803698,0.09820875,lstm,6
slp,0.279803,0.1523487,lstm,6
tauu,0.32976577,0.1795527,lstm,6
nino,0.48118693,0.613607,lstm,12
nino34,0.10185045,0.12987915,lstm,12
olr,0.022848329,0.029136067,lstm,12
slp,0.049118858,0.06263611,lstm,12
tauu,0.12918943,0.16474168,lstm,12
nino,0.59873086,0.45176518,xgb,3
nino34,0.39336863,0.29681158,xgb,3
olr,0.059192423,0.044662934,xgb,3
season,0.048703525,0.036748663,xgb,3
slp,0.07730588,0.058330227,xgb,3
tauu,0.1480129,0.111681364,xgb,3
nino,0.3994041,0.51994777,xgb,6
nino34,0.21724406,0.2828102,xgb,6
olr,0.02349575,0.030586973,xgb,6
season,0.050608058,0.06588201,xgb,6
slp,0.0020366015,0.0026512656,xgb,6
tauu,0.07537342,0.09812177,xgb,6
nino,0.11172731,0.8376024,xgb,12
nino34,0.019798225,0.14842422,xgb,12
olr,0.0,0.0,xgb,12
season,0.0,0.0,xgb,12
slp,0.0,0.0,xgb,12
tauu,0.001863909,0.013973437,xgb,12
