trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_accuracy,val_f1_macro,val_auc_macro,val_bss
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,213,0.6074766355140186,0.6051106308130666,0.8092845428798393,0.10439107946958637
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,158,0.719626168224299,0.7211536697387975,0.8761027604293109,0.40669420485055796
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,499,0.7383177570093458,0.7236956582750974,0.872305064216829,0.3723322561533464
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,368,0.5607476635514018,0.5583539564693191,0.8033675874505057,0.05661333476174868
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,32,0.7383177570093458,0.7431608691649756,0.8708867540020641,0.4089448262391556
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,60,0.719626168224299,0.7146398046398046,0.8722852311087607,0.37663313474129356
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,44,0.5700934579439252,0.5669764211638589,0.8120366425035211,0.0875202864474014
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,36,0.7476635514018691,0.7508460211698811,0.865870525148626,0.39340669039141496
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,62,0.7570093457943925,0.7600398247710075,0.8748983859277977,0.4032558584173217
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,407,0.5514018691588785,0.5571519815079534,0.8054609858718266,0.04648040538993925
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,537,0.7289719626168224,0.7309188632718046,0.8775481704018526,0.4076419508238939
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,1140,0.7289719626168224,0.7286581398730932,0.8836293608352431,0.4161175285780584
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,110,0.616822429906542,0.6041608690005751,0.8181251984922029,0.12831488289643656
