month,sst_nino34_lag0,sst_nino4_lag0,sst_nino3_lag0,sst_nino12_lag0,d20_nino34_lag0,d20_nino4_lag0,tauu_eq_lag0,olr_eq_lag0,slp_eq_lag0,sst_nino34_lag1,sst_nino4_lag1,sst_nino3_lag1,sst_nino12_lag1,d20_nino34_lag1,d20_nino4_lag1,tauu_eq_lag1,olr_eq_lag1,slp_eq_lag1,sst_nino34_lag2,sst_nino4_lag2,sst_nino3_lag2,sst_nino12_lag2,d20_nino34_lag2,d20_nino4_lag2,tauu_eq_lag2,olr_eq_lag2,slp_eq_lag2,sst_nino34_lag3,sst_nino4_lag3,sst_nino3_lag3,sst_nino12_lag3,d20_nino34_lag3,d20_nino4_lag3,tauu_eq_lag3,olr_eq_lag3,slp_eq_lag3,season_sin,season_cos
1,0.087682225,0.21688727,0.08798021,0.02328017,0.11389187,0.08624691,0.1152761,0.011067834,0.02585545,0.0039970707,0.004720326,0.016522236,0.015025343,0.009203863,0.021886906,0.0070779417,0.019115645,0.020239498,0.023287198,0.007979095,0.015922915,0.014453928,0.02058143,0.00631476,0.00938367,0.020785663,0.02454426,0.03303971,0.029743016,0.022991193,0.010853577,0.040712208,0.030540165,0.0146788405,0.0061917845,0.009252774,0.022700896,0.024120605
2,0.07925718,0.21157795,0.07996424,0.025380835,0.141588,0.09069195,0.09214541,0.009069748,0.026229687,0.002920968,0.003141052,0.012140146,0.014166693,0.007359259,0.027043156,0.013584139,0.015721241,0.017372493,0.01094377,0.0074246344,0.02325081,0.012828161,0.020665288,0.0046883556,0.011941994,0.02837414,0.01713089,0.042754687,0.028527115,0.02078083,0.012281217,0.030258672,0.035924956,0.013835048,0.009034794,0.0104493415,0.027902152,0.030440688
3,0.07614557,0.21236153,0.06739072,0.031089174,0.12800437,0.05789961,0.10245839,0.0076873396,0.033637095,0.003901189,0.0055351118,0.012959162,0.016181843,0.015157054,0.027621347,0.0043431823,0.018435178,0.0107647125,0.017425323,0.009777789,0.0213826,0.013681741,0.01688841,0.007769556,0.016751766,0.018320424,0.027207443,0.042302538,0.043398123,0.026193582,0.009469836,0.039093815,0.034372456,0.010431457,0.0076677003,0.007622347,0.026860746,0.02017399
4,0.07023166,0.18247822,0.07657786,0.042649433,0.15530986,0.07309385,0.083299965,0.010758591,0.026417669,0.0037589355,0.0036105784,0.0075708767,0.015800463,0.0046633654,0.027953561,0.014307501,0.01700656,0.022632197,0.019280694,0.008151626,0.019770643,0.010911586,0.025056895,0.0068237176,0.012428866,0.026497133,0.016394291,0.031364843,0.03899369,0.027925137,0.008833463,0.041083615,0.028939227,0.010542413,0.008146286,0.008852744,0.019722987,0.008077992
5,0.058734313,0.18779548,0.057881705,0.03476523,0.15617815,0.07666992,0.10202961,0.00892585,0.044106625,0.0034156714,0.0047293734,0.01035634,0.02454657,0.011466151,0.02715786,0.007878379,0.0220985,0.013961675,0.011648787,0.002063001,0.01901511,0.0150720095,0.020675097,0.008312617,0.011742878,0.02036611,0.023323255,0.034810618,0.047575917,0.025386892,0.009819526,0.029073467,0.037213974,0.009638955,0.007898488,0.0059119114,0.01866621,0.034601167
6,0.06500166,0.1818879,0.0733667,0.03193809,0.15243281,0.08229432,0.07227184,0.011799998,0.03576851,0.004990128,0.0051368326,0.010759283,0.019231103,0.009409717,0.030088957,0.008065738,0.02023003,0.022873841,0.012366497,0.0030984492,0.016750235,0.022338409,0.017610192,0.0075170714,0.012568618,0.021938317,0.014633369,0.03760075,0.042933628,0.026332468,0.0103151705,0.044306416,0.035561,0.0077244723,0.013178886,0.0116620045,0.01403375,0.051933262
7,0.08300016,0.19059044,0.083477706,0.032117777,0.14527151,0.05931815,0.16034518,0.0072669727,0.031788155,0.002922891,0.0046273307,0.015177127,0.014987524,0.0059431517,0.028201737,0.0055917595,0.025520436,0.019615225,0.01585898,0.005573677,0.01567857,0.017694183,0.017155012,0.0058239372,0.014384376,0.01438468,0.025905374,0.038073897,0.024951223,0.014541228,0.0060834116,0.037068598,0.037697382,0.011171076,0.0075333184,0.0059917616,0.022878004,0.035498887
8,0.11579205,0.18516819,0.073597066,0.03379368,0.21723011,0.058594167,0.12203029,0.010311665,0.028806077,0.0044688773,0.0040738997,0.010720471,0.015084285,0.008388292,0.022879831,0.015575311,0.02072084,0.014853988,0.015832009,0.0064789318,0.01895143,0.016024334,0.015482742,0.0076084607,0.011206921,0.023648681,0.033266503,0.037682906,0.023518091,0.0244172,0.010563337,0.036642667,0.03857393,0.01453196,0.011929449,0.0074924272,0.03408844,0.0070677274
9,0.12739855,0.22250421,0.108659714,0.038860664,0.24976985,0.05577062,0.14961657,0.0053678825,0.037981667,0.003648792,0.00411742,0.008836085,0.015464147,0.018676963,0.026883597,0.007725077,0.019658778,0.021685923,0.01655112,0.006351648,0.020836927,0.015436368,0.014602159,0.006284888,0.010974596,0.020812664,0.016035533,0.031375833,0.018430673,0.03196037,0.012409027,0.031549126,0.04058346,0.010915872,0.0104574,0.01122522,0.03455331,0.007523345
10,0.1279341,0.22928253,0.09621762,0.031716686,0.29661712,0.063473865,0.16739257,0.0064334325,0.02384736,0.004149384,0.0027052788,0.016308416,0.016960155,0.012232251,0.024350967,0.010314151,0.024115242,0.015791792,0.02069989,0.005086092,0.020111298,0.011889404,0.014592514,0.0076779686,0.009522029,0.028147405,0.014095992,0.024407918,0.025574112,0.023133976,0.010282881,0.029012423,0.036938064,0.016139103,0.0053049945,0.0060757236,0.038059182,0.025765829
11,0.12950131,0.21904147,0.11297909,0.029837715,0.22779617,0.05056368,0.104687504,0.007661309,0.020755574,0.0059469165,0.005611858,0.015075395,0.01615686,0.011868149,0.025732659,0.014395845,0.016345777,0.016489483,0.01805225,0.0045365635,0.023365313,0.012863713,0.020461004,0.005808871,0.014255529,0.029668009,0.019001724,0.02635531,0.021271467,0.027438862,0.009376522,0.029108146,0.032699216,0.008829019,0.0048118727,0.008264455,0.025735693,0.020179598
12,0.12728672,0.21744613,0.1085698,0.025230682,0.18489473,0.06998643,0.102817774,0.00983187,0.020274872,0.0037457189,0.004583829,0.014941987,0.020555388,0.010890525,0.022196393,0.0055620736,0.01586198,0.015599314,0.025487363,0.009943727,0.025405748,0.01617118,0.01992894,0.0071367854,0.009066306,0.018787574,0.019493297,0.026728421,0.020526545,0.02773659,0.012158932,0.03260849,0.029689753,0.018901616,0.00476094,0.012021795,0.010091323,0.023452373
