,sst_nino4_lag0,d20_nino34_lag0,tauu_eq_lag0,sst_nino34_lag0,sst_nino3_lag0,d20_nino4_lag0,d20_nino34_lag3,d20_nino4_lag3,sst_nino34_lag3,sst_nino12_lag0,sst_nino4_lag3,slp_eq_lag0,d20_nino4_lag1,sst_nino3_lag3,season_sin,season_cos,olr_eq_lag2,slp_eq_lag2,sst_nino3_lag2,olr_eq_lag1,d20_nino34_lag2,slp_eq_lag1,sst_nino34_lag2,sst_nino12_lag1,sst_nino12_lag2
sst_nino4_lag0,0.043595463,0.03973642,0.024499403,0.021608805,0.018856276,0.014256789,0.0070310836,0.0071103824,0.007255678,0.007037409,0.0067426935,0.006018133,0.0052685887,0.005544889,0.005317178,0.0050118696,0.004411969,0.0041716676,0.003963344,0.004012186,0.003840861,0.0036525768,0.0035685888,0.0037015497,0.0032949494
d20_nino34_lag0,0.03973642,0.05014175,0.025950698,0.024179924,0.019423027,0.012145822,0.0057639396,0.006302851,0.006872559,0.0077664256,0.007406464,0.004923146,0.004403165,0.005502675,0.00594244,0.0046134084,0.003986004,0.0034016292,0.0032526911,0.0036929753,0.003315727,0.0036046081,0.0030734735,0.003562925,0.0032913007
tauu_eq_lag0,0.024499403,0.025950698,0.018293653,0.013717679,0.011551018,0.007838755,0.0038996271,0.0040664873,0.0042606564,0.0040786234,0.0041373717,0.0033504514,0.002892071,0.0031294527,0.0033225024,0.0027889125,0.0024761532,0.002230357,0.0020944714,0.00239181,0.0020730707,0.0021589193,0.0019142866,0.0020821146,0.0019782584
sst_nino34_lag0,0.021608805,0.024179924,0.013717679,0.016162476,0.012496867,0.0062830634,0.0028332525,0.003429164,0.0036086056,0.0044231783,0.004046757,0.002727889,0.0023662718,0.0034690683,0.0029572996,0.0022082764,0.0017350522,0.0018661715,0.0016543309,0.0019538517,0.0015744827,0.0019626399,0.0017378391,0.0022765181,0.00224442
sst_nino3_lag0,0.018856276,0.019423027,0.011551018,0.012496867,0.010934337,0.0058581443,0.0027122472,0.0029987625,0.003124641,0.003936002,0.0032302025,0.002524634,0.002185853,0.0028152037,0.0025108668,0.0020791104,0.0015969796,0.0016755904,0.0015026227,0.0016950464,0.0014624018,0.00168192,0.0015149707,0.002035591,0.0019320962
d20_nino4_lag0,0.014256789,0.012145822,0.007838755,0.0062830634,0.0058581443,0.0067960145,0.002408444,0.0024362481,0.0024303019,0.002221958,0.0020448554,0.0019633425,0.0020912734,0.0017299271,0.0017053504,0.0019388677,0.0014802644,0.0015273988,0.0014291606,0.0012320754,0.0013905393,0.0012162533,0.0011331051,0.0012603686,0.0011158475
d20_nino34_lag3,0.0070310836,0.0057639396,0.0038996271,0.0028332525,0.0027122472,0.002408444,0.0014588761,0.0011978501,0.001125804,0.0010585854,0.0010346591,0.0010443684,0.0008998322,0.00077012565,0.0008030385,0.0008619498,0.0008451267,0.0007167111,0.00070176687,0.000705097,0.00066294597,0.000581938,0.00058620103,0.0005237047,0.00045508647
d20_nino4_lag3,0.0071103824,0.006302851,0.0040664873,0.003429164,0.0029987625,0.0024362481,0.0011978501,0.0013814587,0.0011754943,0.001094389,0.0010219761,0.0010962164,0.00093705667,0.00088113965,0.0008446613,0.0008069982,0.00077279785,0.0007878152,0.00073512865,0.0006657479,0.0005911195,0.0006315082,0.00062921527,0.00059673795,0.0005277438
sst_nino34_lag3,0.007255678,0.006872559,0.0042606564,0.0036086056,0.003124641,0.0024303019,0.001125804,0.0011754943,0.0018069131,0.0011433034,0.0015459702,0.001034659,0.0008730769,0.0011699934,0.0009346868,0.00089131243,0.00067539356,0.000714351,0.0005721911,0.0007161194,0.0005997624,0.00061355013,0.00048473832,0.00059356797,0.0005399624
sst_nino12_lag0,0.007037409,0.0077664256,0.0040786234,0.0044231783,0.003936002,0.002221958,0.0010585854,0.001094389,0.0011433034,0.0021390903,0.001174995,0.0008800458,0.0007946177,0.0010006629,0.0009974067,0.00084096077,0.0006585351,0.00059909467,0.00055998086,0.00066127785,0.0005365477,0.00066162576,0.0005590331,0.00089623063,0.0008200692
