,d20_nino34_lag0,d20_nino4_lag2,tauu_eq_lag0,sst_nino4_lag0,season_cos,d20_nino4_lag3,d20_nino4_lag0,d20_nino4_lag1,sst_nino12_lag0,sst_nino3_lag0,sst_nino34_lag3,sst_nino34_lag0,sst_nino4_lag3,olr_eq_lag0,sst_nino4_lag2,d20_nino34_lag2,olr_eq_lag2,tauu_eq_lag3,d20_nino34_lag3,sst_nino34_lag2,tauu_eq_lag2,olr_eq_lag3,sst_nino4_lag1,tauu_eq_lag1,d20_nino34_lag1
d20_nino34_lag0,0.036482163,0.019975102,0.009286125,0.009681971,0.010212019,0.007814285,0.0069739297,0.006763369,0.005917969,0.0058142697,0.004147483,0.0024982232,0.0022269755,0.0015872522,0.0018382915,0.0010984181,0.0013043641,0.001034017,0.00075731426,0.00069900556,0.00092116743,0.0008758637,0.0011735196,0.0008275842,0.0006989597
d20_nino4_lag2,0.019975102,0.017810237,0.0070281527,0.0064151147,0.0062566637,0.005964409,0.0049856342,0.0048454744,0.0042735124,0.0039783083,0.002786664,0.0017548243,0.0018909615,0.0012612859,0.0015886027,0.0009220706,0.00088089105,0.00089375884,0.00069904764,0.00067098753,0.0005754784,0.00061266404,0.00059911486,0.00057560654,0.0006125897
tauu_eq_lag0,0.009286125,0.0070281527,0.004754944,0.0033448623,0.0028795183,0.0024545349,0.0022884072,0.00207557,0.0019381667,0.0019289386,0.0014069222,0.0009396274,0.0008563644,0.0006288264,0.0006451921,0.000446363,0.000434223,0.00033073095,0.00038630512,0.00034510973,0.00032258691,0.00031042835,0.00031700687,0.00026199056,0.0002609894
sst_nino4_lag0,0.009681971,0.0064151147,0.0033448623,0.0043036807,0.0025559082,0.0023324103,0.0024282602,0.0020753809,0.0017000637,0.0019465942,0.0012126719,0.0010951953,0.0007824505,0.00060387625,0.00056050566,0.0004256711,0.0004704754,0.00039195287,0.00032408387,0.000314211,0.0003716504,0.00031064707,0.0002898381,0.00027964954,0.00025969066
season_cos,0.010212019,0.0062566637,0.0028795183,0.0025559082,0.0050474214,0.0024233058,0.0020119918,0.0025253776,0.0027910147,0.002267638,0.0012773527,0.0006224245,0.0006053007,0.00062166643,0.0006284905,0.00052045076,0.0003500622,0.00024662283,0.0002747507,0.00024901782,0.00025921367,0.0002846554,0.00054590683,0.00021522879,0.0002769404
d20_nino4_lag3,0.007814285,0.005964409,0.0024545349,0.0023324103,0.0024233058,0.0024408477,0.0016708504,0.001691848,0.0015039267,0.001413056,0.00092734623,0.0006185297,0.00063414534,0.00042564404,0.000569976,0.00032284163,0.00028435272,0.00028023447,0.00022753312,0.00022106282,0.00020598518,0.0002187633,0.00024158055,0.00024482736,0.00020802692
d20_nino4_lag0,0.0069739297,0.0049856342,0.0022884072,0.0024282602,0.0020119918,0.0016708504,0.0021448906,0.0017130625,0.0014456678,0.0014271102,0.0009997385,0.0007155056,0.00053541956,0.0004090046,0.00039780544,0.00028880112,0.00037998558,0.00025511044,0.00019666948,0.00021276146,0.0002462459,0.00020478235,0.00018899585,0.00016384583,0.00017065255
d20_nino4_lag1,0.006763369,0.0048454744,0.00207557,0.0020753809,0.0025253776,0.001691848,0.0017130625,0.0019040911,0.0018160697,0.0014510482,0.0009027737,0.0005517103,0.00049624266,0.00040434414,0.00043547686,0.0003215423,0.0003065006,0.00022705551,0.00018879565,0.00019905201,0.00021909997,0.0002104302,0.00027777563,0.00016006282,0.00017534009
sst_nino12_lag0,0.005917969,0.0042735124,0.0019381667,0.0017000637,0.0027910147,0.0015039267,0.0014456678,0.0018160697,0.0021577848,0.0015054409,0.0007679629,0.00043810272,0.00041678475,0.00039396706,0.0003618665,0.0003201585,0.00023791654,0.0001591241,0.00018370064,0.00018139482,0.00019115907,0.00018231024,0.00033151705,0.0001358481,0.0001733182
sst_nino3_lag0,0.0058142697,0.0039783083,0.0019289386,0.0019465942,0.002267638,0.001413056,0.0014271102,0.0014510482,0.0015054409,0.0015535156,0.00081725494,0.00054414076,0.00044034907,0.00042926407,0.00032933458,0.000304675,0.00023626321,0.00018550908,0.00018018577,0.00017902855,0.00020558214,0.00016946805,0.0002638192,0.00013016285,0.00016979102
