trial_id,fold_id,train_start,train_end,val_start,val_end,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,best_iteration,val_rmse,val_mae,val_corr,val_r2
1,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,42,0.6329336762428284,0.4904007315635681,0.5898696184137561,0.336913526058197
1,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,94,0.6844320297241211,0.5457862615585327,0.7014003244223824,0.479098916053772
1,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.03,1.0,0.6,10.0,0.01,5.0,0.5,1.0,50,39,0.7627238631248474,0.6155816316604614,0.3387986933611806,0.04804050922393799
2,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,15,0.6293051242828369,0.49064984917640686,0.5892932882856322,0.3444945812225342
2,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,30,0.6883819699287415,0.5473229885101318,0.6993827196081706,0.4730691909790039
2,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,4,0.1,1.0,0.8,5.0,0.01,3.0,0.5,1.0,50,12,0.7320367097854614,0.5939776301383972,0.4207963585011184,0.1231011152267456
3,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,15,0.6440053582191467,0.5033762454986572,0.5611181083870272,0.31351232528686523
3,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,35,0.700229287147522,0.570706307888031,0.6887939874816055,0.45477575063705444
3,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,5,0.1,1.0,0.8,5.0,0.01,5.0,0.0,1.0,50,18,0.7340636849403381,0.6014196276664734,0.43283097140074056,0.11823821067810059
4,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,193,0.6437606811523438,0.51200932264328,0.5647557656868197,0.3140338063240051
4,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,381,0.6840447783470154,0.5460751056671143,0.7003062818506034,0.4796881675720215
4,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,1.0,1.0,5.0,0.0,1.0,0.5,0.0,100,79,0.773954451084137,0.6241135597229004,0.3059848055057407,0.019800305366516113
5,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,34,0.6457809805870056,0.5124447345733643,0.560315105894915,0.30972152948379517
5,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,56,0.6887356042861938,0.5487676858901978,0.6998523283034505,0.4725276827812195
5,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,3,0.05,0.6,0.8,5.0,0.0,3.0,0.0,0.0,50,133,0.7335711717605591,0.6074247360229492,0.4956510632807437,0.11942094564437866
6,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,34,0.6404125690460205,0.5002074241638184,0.5678963146205006,0.3211504817008972
6,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,87,0.6796010136604309,0.5440893173217773,0.7095534754601389,0.4864264726638794
6,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,4,0.05,1.0,0.8,5.0,0.1,5.0,0.0,1.0,50,26,0.7301784753799438,0.5939319133758545,0.4325734738594275,0.12754732370376587
7,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,224,0.6312060356140137,0.4971882700920105,0.5838101723687537,0.3405284285545349
7,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,349,0.671884298324585,0.5350801348686218,0.7167655184637912,0.49802327156066895
7,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,3,0.01,0.8,0.8,10.0,1.0,5.0,0.5,1.0,50,133,0.7503964900970459,0.6042916774749756,0.38881910973179007,0.07856351137161255
8,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,121,0.6482701301574707,0.5182559490203857,0.5688948282695593,0.3043900728225708
8,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,136,0.6699931621551514,0.5275292992591858,0.7198476498816554,0.5008450746536255
8,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,3,0.03,0.6,1.0,3.0,0.1,10.0,0.5,1.0,50,130,0.7226734161376953,0.5947104096412659,0.48490189701829567,0.14539003372192383
9,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,174,0.6363853812217712,0.49513480067253113,0.5747820395364043,0.32966142892837524
9,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,314,0.6834225654602051,0.5462997555732727,0.7063958171974551,0.48063433170318604
9,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,3,0.01,0.6,0.8,1.0,0.0,3.0,0.1,0.0,50,343,0.7427862286567688,0.60941082239151,0.46330088327407737,0.09715849161148071
10,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,219,0.6391658186912537,0.5070976614952087,0.571865503164856,0.32379114627838135
10,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,553,0.6754108667373657,0.53995680809021,0.7109003491399533,0.4927399158477783
10,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1600,2,0.01,0.8,0.8,3.0,1.0,1.0,0.1,1.0,100,677,0.7354419827461243,0.6104101538658142,0.5039318167597362,0.11492395401000977
11,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,187,0.6366854310035706,0.5065323114395142,0.5748183959992926,0.3290292024612427
11,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,535,0.6781945824623108,0.5418905019760132,0.7068257488143969,0.48854994773864746
11,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.01,1.0,0.8,3.0,1.0,3.0,0.1,0.0,50,86,0.7779809236526489,0.6272009611129761,0.2975744657597686,0.009574830532073975
12,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,121,0.6439734101295471,0.5132803320884705,0.5740091777204953,0.3135804533958435
12,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,171,0.6605952978134155,0.521619439125061,0.7261688992308665,0.5147500038146973
12,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,500,2,0.03,0.6,1.0,1.0,1.0,10.0,0.5,0.0,50,142,0.7502625584602356,0.6152434945106506,0.4426902120661607,0.0788925290107727
13,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,19,0.6329824924468994,0.4971252977848053,0.581638476843732,0.3368111848831177
13,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,45,0.6753328442573547,0.5394415259361267,0.709007139990739,0.4928571581840515
13,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,62,0.7433068752288818,0.6131774187088013,0.4963026371884192,0.09589248895645142
14,1,1979-04-01,1988-03-01,1988-04-01,1997-02-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,46,0.6385043263435364,0.5073168873786926,0.5761590983413688,0.32519012689590454
14,2,1979-04-01,1997-02-01,1997-03-01,2006-01-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,84,0.6891597509384155,0.5486721396446228,0.6949036595224252,0.4718778133392334
14,3,1979-04-01,2006-01-01,2006-02-01,2014-12-01,800,2,0.05,0.8,0.8,1.0,0.0,3.0,0.0,0.0,50,168,0.7418836951255798,0.617211103439331,0.5105130157142918,0.09935122728347778
