rank,trial_id,n_folds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,gamma,max_delta_step,early_stopping_rounds,mean_val_start,std_val_start,mean_val_end,std_val_end,mean_best_iteration,std_best_iteration,mean_val_accuracy,std_val_accuracy,mean_val_f1_macro,std_val_f1_macro,mean_val_auc_macro,std_val_auc_macro,mean_val_bss,std_val_bss,mean_selection_score,std_selection_score
1,137,3,1200,5,0.1,0.6,0.6,5.0,0.0,10.0,0.5,1.0,50,,,,,51.0,52.351376931907595,0.545171339563863,0.09722421516714785,0.49885710370774383,0.12833431875697662,0.7138870771379929,0.10573349815161959,0.08678924607014397,0.18173229545031783,0.08678924607014397,0.18173229545031783
2,143,3,1200,5,0.05,0.6,0.6,3.0,0.1,3.0,0.0,0.0,50,,,,,58.333333333333336,61.369554521946974,0.545171339563863,0.08370734481336074,0.5069474813293492,0.11203846088401646,0.7184568616527369,0.09721406278157459,0.08455025842889836,0.19345143994553482,0.08455025842889836,0.19345143994553482
3,159,3,800,5,0.05,0.6,0.6,3.0,0.01,5.0,0.1,0.0,100,,,,,57.666666666666664,61.11373731730771,0.5514018691588786,0.08599485197409507,0.5088899128577263,0.11729235290007703,0.7095858125237632,0.10734593681135601,0.08207603179483576,0.19803293417313558,0.08207603179483576,0.19803293417313558
4,13,3,1200,2,0.1,0.8,1.0,10.0,0.0,3.0,0.5,1.0,50,,,,,23.0,19.86621923433512,0.5420560747663551,0.11919704965550772,0.48432716295295847,0.15207029560805918,0.6971862963071644,0.11682878562034356,0.08167195862033845,0.19395695888608452,0.08167195862033845,0.19395695888608452
5,18,3,800,3,0.1,0.6,1.0,5.0,0.0,1.0,0.5,1.0,50,,,,,28.0,26.8824602048746,0.5451713395638629,0.091038250443629,0.5049592452156143,0.1153127871214713,0.6992699685367727,0.10511736156028295,0.08166461060696865,0.18195937472921164,0.08166461060696865,0.18195937472921164
6,98,3,800,2,0.1,0.6,1.0,5.0,0.1,3.0,0.0,1.0,100,,,,,29.333333333333332,28.76726534718856,0.5389408099688474,0.1024727987750687,0.48402109209884575,0.1364215312737441,0.6925363633077936,0.11634994784142097,0.08016258530266902,0.18402245405078016,0.08016258530266902,0.18402245405078016
7,87,3,800,3,0.1,0.6,0.8,3.0,0.01,10.0,0.5,1.0,100,,,,,39.666666666666664,37.11543554312081,0.5545171339563862,0.10161686249408156,0.5136713001777037,0.12144627273255845,0.7079364947505109,0.09853390401829693,0.07998390283322632,0.17477071901255448,0.07998390283322632,0.17477071901255448
8,200,3,1600,4,0.1,0.6,1.0,5.0,0.0,5.0,0.1,0.0,50,,,,,22.0,18.40289832245635,0.5607476635514018,0.10683132834568378,0.5002746754072934,0.14351567052598113,0.6954079544618984,0.10815172039342513,0.07936428029840088,0.17359219402842982,0.07936428029840088,0.17359219402842982
9,196,3,500,3,0.05,0.6,0.6,5.0,0.0,5.0,0.5,0.0,50,,,,,81.0,90.60169240509067,0.5451713395638629,0.10360304765305849,0.49864992997778956,0.13703293182389398,0.7148210749110012,0.10082941581282927,0.07887098457350472,0.18460831732042013,0.07887098457350472,0.18460831732042013
10,77,3,500,3,0.05,0.6,0.6,1.0,1.0,3.0,0.5,0.0,100,,,,,62.666666666666664,58.08805576211191,0.5389408099688473,0.1085436223687498,0.49339173874541564,0.13467449326575848,0.7080263138775716,0.1016158304594949,0.07802172159853145,0.18169690450489492,0.07802172159853145,0.18169690450489492
