feature,mean_abs_shap
d20_nino4_lag2,0.041124225
sst_nino12_lag1,0.022774518
sst_nino12_lag3,0.020126835
d20_nino34_lag2,0.015661232
sst_nino4_lag0,0.01329482
sst_nino12_lag2,0.0067627183
d20_nino4_lag0,0.0061554904
d20_nino34_lag0,0.004136992
tauu_eq_lag0,0.001863909
sst_nino12_lag0,0.0014887112
sst_nino3_lag0,0.0
sst_nino34_lag0,0.0
sst_nino34_lag1,0.0
slp_eq_lag0,0.0
d20_nino34_lag1,0.0
d20_nino4_lag1,0.0
olr_eq_lag1,0.0
tauu_eq_lag1,0.0
slp_eq_lag1,0.0
sst_nino4_lag1,0.0
sst_nino3_lag1,0.0
olr_eq_lag0,0.0
sst_nino3_lag2,0.0
sst_nino4_lag2,0.0
sst_nino34_lag2,0.0
tauu_eq_lag2,0.0
slp_eq_lag2,0.0
sst_nino34_lag3,0.0
sst_nino4_lag3,0.0
olr_eq_lag2,0.0
sst_nino3_lag3,0.0
d20_nino34_lag3,0.0
d20_nino4_lag3,0.0
tauu_eq_lag3,0.0
olr_eq_lag3,0.0
slp_eq_lag3,0.0
season_sin,0.0
season_cos,0.0
