,d20_nino4_lag2,sst_nino12_lag1,sst_nino12_lag3,d20_nino34_lag2,sst_nino4_lag0,sst_nino12_lag2,d20_nino4_lag0,d20_nino34_lag0,tauu_eq_lag0,sst_nino12_lag0,sst_nino3_lag0,sst_nino34_lag0,sst_nino34_lag1,slp_eq_lag0,d20_nino34_lag1,d20_nino4_lag1,olr_eq_lag1,tauu_eq_lag1,slp_eq_lag1,sst_nino4_lag1,sst_nino3_lag1,olr_eq_lag0,sst_nino3_lag2,sst_nino4_lag2,sst_nino34_lag2
d20_nino4_lag2,0.0020035857,0.0008495169,0.00081008865,0.00060256675,0.0005197608,0.0002399279,0.00030238004,0.00020118144,8.2693005e-05,8.441597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sst_nino12_lag1,0.0008495169,0.0007477749,0.0006495173,0.00028303612,0.00016242418,0.0002594485,0.00013295798,8.801922e-05,4.355918e-05,3.5644418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sst_nino12_lag3,0.00081008865,0.0006495173,0.00081621745,0.00023347739,0.00016912876,0.00024454074,0.00012977,7.290618e-05,4.0382147e-05,3.931669e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d20_nino34_lag2,0.00060256675,0.00028303612,0.00023347739,0.0004367039,0.00028072245,7.627037e-05,8.829528e-05,5.7610672e-05,2.6534035e-05,1.836718e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sst_nino4_lag0,0.0005197608,0.00016242418,0.00016912876,0.00028072245,0.00035246566,4.3644406e-05,7.0073285e-05,4.4165045e-05,2.0200418e-05,1.442842e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sst_nino12_lag2,0.0002399279,0.0002594485,0.00024454074,7.627037e-05,4.3644406e-05,0.00010375327,3.8545466e-05,2.4299412e-05,1.30508515e-05,1.2193089e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d20_nino4_lag0,0.00030238004,0.00013295798,0.00012977,8.829528e-05,7.0073285e-05,3.8545466e-05,5.424081e-05,3.658829e-05,1.6236203e-05,1.3058428e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d20_nino34_lag0,0.00020118144,8.801922e-05,7.290618e-05,5.7610672e-05,4.4165045e-05,2.4299412e-05,3.658829e-05,2.920068e-05,1.1136784e-05,8.636664e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tauu_eq_lag0,8.2693005e-05,4.355918e-05,4.0382147e-05,2.6534035e-05,2.0200418e-05,1.30508515e-05,1.6236203e-05,1.1136784e-05,5.4333873e-06,3.2015553e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sst_nino12_lag0,8.441597e-05,3.5644418e-05,3.931669e-05,1.836718e-05,1.442842e-05,1.2193089e-05,1.3058428e-05,8.636664e-06,3.2015553e-06,4.888158e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
