feature,6-3,12-3,12-6
olr_lag0,7.590182e-05,-3.377378e-05,-0.0001096756
d20_lag0,-1.6065242e-06,8.926727e-06,1.0533251e-05
sst_lag0,1.6414859e-05,-1.3535842e-05,-2.9950701e-05
sst_lag3,6.694418e-05,8.70285e-05,2.008432e-05
d20_lag3,7.986609e-05,5.9996197e-05,-1.986989e-05
olr_lag1,2.0044165e-05,-2.5010955e-05,-4.505512e-05
d20_lag1,2.2658085e-05,4.252343e-05,1.9865343e-05
d20_lag2,1.103013e-05,4.855478e-05,3.752465e-05
olr_lag3,1.9911695e-05,1.2657481e-05,-7.2542134e-06
tauu_lag0,1.6117221e-05,-2.7361224e-05,-4.3478445e-05
sst_lag1,2.0600291e-05,2.2229997e-05,1.6297054e-06
olr_lag2,1.919939e-05,1.9949599e-05,7.5020944e-07
sst_lag2,5.905631e-06,4.1524945e-05,3.5619316e-05
tauu_lag1,-3.695386e-06,-1.6020593e-05,-1.2325207e-05
slp_lag0,2.411832e-05,-1.1067077e-06,-2.5225028e-05
slp_lag1,1.2146582e-05,-3.8645976e-06,-1.601118e-05
tauu_lag2,-2.6424932e-06,-2.019081e-05,-1.7548316e-05
slp_lag3,1.7773222e-05,1.0215693e-05,-7.557528e-06
tauu_lag3,4.4382887e-06,-7.005785e-06,-1.1444074e-05
slp_lag2,1.290744e-06,-3.7987456e-06,-5.0894896e-06
