feature,6-3,12-3,12-6
d20_nino34_lag0,-0.024424374,-0.17502062,-0.15059625
sst_nino4_lag0,-0.14616144,-0.19096631,-0.04480487
tauu_eq_lag0,-0.054831922,-0.1123689,-0.05753698
d20_nino4_lag2,0.11157277,0.034312043,-0.07726073
sst_nino3_lag0,-0.052219223,-0.08497329,-0.032754067
d20_nino4_lag0,-0.029249378,-0.062772185,-0.033522807
sst_nino34_lag0,-0.07911219,-0.09473303,-0.015620843
d20_nino4_lag3,0.0064623654,-0.034945473,-0.04140784
season_cos,0.024663031,-0.024096388,-0.04875942
sst_nino12_lag0,0.0014160164,-0.030312784,-0.0317288
d20_nino4_lag1,0.010851515,-0.026054217,-0.036905732
sst_nino34_lag3,-0.011126881,-0.03410461,-0.02297773
sst_nino4_lag3,-0.016231138,-0.030682094,-0.014450955
d20_nino34_lag2,-0.010749889,-0.002989389,0.0077604996
d20_nino34_lag3,-0.029284257,-0.035180286,-0.005896027
sst_nino12_lag1,-0.016988294,0.0057862233,0.022774518
sst_nino12_lag3,-0.006955318,0.009934418,0.016889736
olr_eq_lag2,-0.015140457,-0.022561662,-0.0074212053
slp_eq_lag0,-0.02985086,-0.02985086,0.0
season_sin,-0.022758499,-0.024607137,-0.0018486377
sst_nino3_lag3,-0.023415612,-0.024868911,-0.0014532987
sst_nino3_lag2,-0.015620496,-0.019953253,-0.004332757
slp_eq_lag2,-0.018979551,-0.021016153,-0.0020366015
sst_nino34_lag2,-0.011410376,-0.01716824,-0.0057578646
sst_nino12_lag2,-0.014984388,-0.008221669,0.0067627183
