model,task,lead_months,source_file,best_val_loss,val_accuracy,val_f1_macro,val_auc_macro,val_bss,test_accuracy,test_f1_macro,test_auc_macro,test_bss,val_rmse,val_mae,val_corr,val_r2,test_rmse,test_mae,test_corr,test_r2,best_iteration
cnn,classification,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_classification_metrics.json,0.7392914295196533,0.6481481481481481,0.6089811096236799,0.8028737874102928,0.2376408514024947,0.7047619047619048,0.6970576848625628,0.874190658441325,0.3916887754996172,,,,,,,,,
cnn,classification,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_classification_metrics.json,0.9497633576393127,0.5,0.4343915343915345,0.6846826040597901,0.059577094235875094,0.5490196078431373,0.4973544973544974,0.6941943403017965,0.09718408411581958,,,,,,,,,
cnn,classification,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_classification_metrics.json,0.9408223032951355,0.5833333333333334,0.42744082308079717,0.7278779661603875,0.12660725691007158,0.3958333333333333,0.2413479052823315,0.5186285189385612,-0.3033090029323222,,,,,,,,,
lstm,classification,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_classification_metrics.json,0.8429692387580872,0.6203703703703703,0.5841497339138848,0.7755609605127652,0.15195298207954755,0.6,0.6087643350801245,0.8461282085244468,0.27825526218409935,,,,,,,,,
lstm,classification,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_classification_metrics.json,1.0455718040466309,0.4351851851851852,0.31394858828487143,0.546558468909313,-0.019779744484343942,0.4019607843137255,0.31457431457431456,0.6666860437419647,0.05168658351099209,,,,,,,,,
lstm,classification,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_classification_metrics.json,1.0718724727630615,0.4444444444444444,0.20512820512820515,0.6719604159306183,-0.01905739383065308,0.3229166666666667,0.21104122990915442,0.5450813872773946,-0.10039706021277395,,,,,,,,,
xgboost,classification,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_classification_metrics.json,,0.7222222222222222,0.7307377767392955,0.8714968150032752,0.35268574919470497,0.6857142857142857,0.6965256277949777,0.8512410929703664,0.29070884471983005,,,,,,,,,130.0
xgboost,classification,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_classification_metrics.json,,0.48148148148148145,0.41431992337164747,0.6776978698932389,0.0435021226533836,0.45098039215686275,0.43081166272655635,0.6752706101664435,0.007723048860106663,,,,,,,,,39.0
xgboost,classification,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_classification_metrics.json,,0.5092592592592593,0.34288815953433954,0.5960580568995112,0.020492877008496113,0.3645833333333333,0.2724423102574363,0.47139317863758273,-0.0768424648305095,,,,,,,,,9.0
cnn,regression,3,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead03_regression_metrics.json,0.16705431044101715,,,,,,,,,0.40872281789779663,0.3261912763118744,0.8420624551487693,0.7051936388015747,0.4500688910484314,0.3498746156692505,0.9112669295630118,0.797252893447876,
cnn,regression,6,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead06_regression_metrics.json,0.49264296889305115,,,,,,,,,0.7018853425979614,0.5560659170150757,0.4784231701527396,0.18709731101989746,0.74239581823349,0.6018756628036499,0.7620795387348178,0.45197200775146484,
cnn,regression,12,/work/ext/st12/shap-enso/data/models/cnn/cnn_lead12_regression_metrics.json,0.8570333123207092,,,,,,,,,0.9257609248161316,0.7131423950195312,0.3299069013080303,0.04335135221481323,0.931228756904602,0.7458643913269043,0.02555539784465799,-0.1610041856765747,
lstm,regression,3,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead03_regression_metrics.json,0.1935221552848816,,,,,,,,,0.43991154432296753,0.3514919877052307,0.83404326850491,0.6584849953651428,0.3976772725582123,0.3268262445926666,0.9341425022977523,0.8417083024978638,
lstm,regression,6,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead06_regression_metrics.json,0.5138354301452637,,,,,,,,,0.7168232202529907,0.6011174321174622,0.4755003118546519,0.1521279215812683,0.8119228482246399,0.6562603116035461,0.6004932343273766,0.34451723098754883,
lstm,regression,12,/work/ext/st12/shap-enso/data/models/lstm/lstm_lead12_regression_metrics.json,0.8861668705940247,,,,,,,,,0.9413643479347229,0.7206185460090637,0.20181217387572986,0.01083153486251831,0.9003865122795105,0.7466760277748108,0.14688987840549858,-0.08537280559539795,
xgboost,regression,3,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead03_regression_metrics.json,,,,,,,,,,0.42744097113609314,0.3284763991832733,0.831420148800227,0.677573025226593,0.422201007604599,0.33797746896743774,0.9309647430077076,0.8215833902359009,326.0
xgboost,regression,6,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead06_regression_metrics.json,,,,,,,,,,0.7255063652992249,0.5850560069084167,0.45142862723113136,0.1314622163772583,0.80961012840271,0.6521949172019958,0.6816143936428868,0.34824609756469727,18.0
xgboost,regression,12,/work/ext/st12/shap-enso/data/models/xgb/xgb_lead12_regression_metrics.json,,,,,,,,,,0.9535455107688904,0.7528886198997498,0.11881229964400063,-0.014933466911315918,0.8657035231590271,0.7133986353874207,0.06436692071916117,-0.00336611270904541,1.0
